Grapheme	IPA	Note
nll	ŋ ʎ	
nl	ŋ l	
nm	ŋ m	
nr	ŋ ɾ	
nw	ŋ w	
ny	ŋ j	
nq	ŋ χ	
n$	ŋ	
ll	ʎ	
y	j	
p	p	
t	t	
ch	tʃ	
k	k	
q	χ	
m	m	
w	w	
s	s	
n	n	
l	l	
r	ɾ	
h	h	libre variación con x
ñ	ɲ	
a	a	
e	e	
i	i	
o	o	contexto de q ya aplicado en lista de conceptos
u	u	contexto de q ya aplicado en lista de conceptos
d	d	loan
-	+	
