Grapheme	IPA	Note
ĉ	ʈʂ	
ll	dʑ	
np	n b	
nt	n d	
nch	n tʃ	
nk	n g	
mp	m b	
mt	m d	
mch	m tʃ	
mk	m g	
ñp	ɲ b	
ñt	ɲ d	
ñch	ɲ tʃ	
ñk	ɲ g	
ch	tʃ	Lamas only
p	p	
m	m	
t	t	
s	s	
n	n	
r	r	
l	l	
w	w	
a	a	
sh	ç	
ñ	ɲ	
y	j	
k	k	
j	x	
u	u	
i	i	
