Grapheme	IPA	Note
p’	p’	
t’	t’	
ts’	ts’	
k’	k’	
pʰ	pʰ	
qʰ	qʰ	
q’	q’	
q	q	
ph	pʰ	
tsh	tsʰ	
kh	kʰ	
kʰ	kʰ	
qh	qʰ	
sʰ	s	
tš’	tʃ’	
tš	tʃ	
ḁ́:	a:	
á:	a:	
á	a	
ḁ́	a	
é	e	
í	i	
ó:	o:	
ó	o	
i:	i:	
i	i	
í:	i:	
í̥:	i:	
í̥	i	
a:	a:	
a	a	
s	s	
t	t	
ú:	u:	
ú	u	
u:	u:	
u	u	
k	k	
m	m	
n	n	
ñ	ɲ	
o:	o:	
o	o	
h	h	
é:	e:	
e:	e:	
e	e	
p	p	
l	l	
y	y	
c	k	
d	d	
g	g	
!	NULL	
χ	χ	
š	ʃ	
r̂	r	
ž	ʂ	
-	+	
