Grapheme	IPA	Note
iq	e q	
ilq	e l q	
irq	e ɾ q	
isq	e s q	
inq	e ŋ q	
i:q	e: q	
i:lq	e: l q	
i:rq	e: ɾ q	
i:sq	e: s q	
i:nq	e: ŋ q	
uq	o q	
ulq	o l q	
urq	o ɾ q	
usq	o s q	
unq	o ŋ q	
u:q	o: q	
u:lq	o: l q	
u:rq	o: ɾ q	
u:sq	o: s q	
u:nq	o: ŋ q	
qi	q e	
qi:	q e:	
qu	q o	
qu:	q o:	
ch	c	
np	m p	
p	p	
m	m	
w	w	
t	t	
ñ	ɲ	
n	n	
l	l	
s	s	
rr	r	
r	ɾ	
tr	ʈ	
sh	ʃ	
y	j	
ll	ʎ	
k	k	
h	h	
q	q	
-$	NULL	
-	+	
a	a	
u	u	
i	i	
