Grapheme	IPA	Comment
aq	a χ	
eq	ɪ χ	
oq	o χ	
qa	q a	
qe	q ɪ	
qo	q o	
ak	a x	
ik	i x	
uk	u x	
ka	k a	
ki	k i	
ku	k u	
a	a	
aa	a:	
e	e	
iy	iː	
i	i	
u	u	
o	o	
w	w	
y	j	
nq	ŋ q	
nk	ŋ k	
m	m	
n	n	
ñ	ɲ	
p	p	
r	ɾ	
s	s	
sh	ʃ	
g	g	
ll	ʒ	
l	l	
t	t	
ch	tʃ	
-	+	
