Grapheme	IPA	Note
sh	ʃ 	
ts	ts	
ch	tʃ	
ll	ʎ 	
^r	ɾ 	
j	χ	
ñ	ɲ 	
c	k	
y	j	
a	a	
u	u	
i	i	
r	r	
g	g	
b	b	
d	d	
l	l	
m	m	
n	n	
p	p	
s	s	
t	t	
v	v	unsecure
w	w
qu	k
ɾ	ɾ	
