Grapheme	IPA	Note
m	m	
n	n	
ñ	ɲ	
p	p	
cch	k tʃ	
ch	tʃ	
ca	k a	
cu 	k u	
r	r	
qui	k i	
que	k e	
^hu	h u	
hu	w	
q	q	
t	t	
ac 	a k	
ce 	s e	
ci	s i	
ç	s	
vi	w i	
ʃ	s̺	
f	s	
ay	a j	
cr	k r	
yʃ 	i s̺	
y	j	
ia	j a	
ll	ʎ	
h	h	
cc	χ	
ʃʃ	k	
s	s̺	
au	a w	
a	a	
v	u	
u	u	
i	i	
o	ɔ	
e	e	
c	k	
