Grapheme	IPA	Note
ch	tʃ	
hu	w	
ll	ʎ	
qu	k	
sh	ʃ	
ts	ts	
zh	dʒ	
a	a	
b	b	
c	k	
d	d	
g	g	
i	i	
j$	NULL	
j	h	
l	l	
m	m	
n	n	
ñ	ɲ	
p	p	
r	r	
s	s	
t	t	
u	u	
y	j	
z	NULL	
