Grapheme	IPA	Note
a	a	
e	e	
i	i	
u	u	
o	o	
h	h	
j	χ	
p	p	
m	m	
w	w	
t	t	
s	s	
n	n	
l	l	
r	r	
y	j	
ch	tʃ	
ñ	ɲ	
ll	ʎ	
k	k	
q	q	
f	f	
c	k	
-	+	
