Grapheme	IPA	Note
ong	o n q	
cch	k tʃ	
g	g	
cc	x	
m	m	
n	n	
ñ	ɲ	
p	p	
ch’	tʃ’	
ch	tʃ	
r	r	
hu	w	
h	h	
q	q	
t	t	
ç	s	
ce 	s e	
ci	s i	
vi	w i	
yʃʃ	i s	
ʃʃ	s	
yʃ 	i s	
ʃ	s	
ay	a j	
y	j	
ia	j a	
ll	ʎ	
k	k	
c	k	
z	s	
s	s	
au	a w	
a	a	
v	u	
gu	w	
u	u	
i	i	
o	o	
e	e	
d	d	
w	w	
x	χ	
.	+	
