Grapheme	IPA	Note
č	tʃ	
p	p	
b	b	
f	f	
m	m	
w	w	
t	t	
d	d	
s	s	
ll	l	
l	l	
^r	ʐ	variation of ʐ with r
r$	ʐ	variation of ʐ with r
rs	ʐ s	variation of ʐ with r
rt	ʐ t	variation of ʐ with r
rd	ʐ d	
rn	ʐ n	
r	ɾ	
nĉ	ɳ ʈʂ	
ix	e χ	
ilx	e l χ	
irx	e ɾ χ	
isx	e s χ	
in̊x	e ŋ χ	
i:x	e: χ	
i:lx	e: l χ	
i:rx	e: ɾ χ	
i:sx	e: s χ	
i:n̊x	e: ŋ χ	
ux	o χ	
ulx	o l χ	
urx	o ɾ χ	
usx	o s χ	
un̊x	o ŋ χ	
u:x	o: χ	
u:lx	o: l χ	
u:rx	o: ɾ χ	
u:sx	o: s χ	
u:n̊x	o: ŋ χ	
xi	χ e	
xi:	χ e:	
xu	χ o	
xu:	χ o:	
n̊x	ɴ χ	
n̊	ŋ	
n	n	
šĉ	ʂ ʈʂ	
ĉ	ʈʂ	
š	ç	
ř	ʐ	
ñ	ɲ	
l̃	ʎ	
k	k	
x	χ	
g	g	
iy	i	
y	j	
u:	u:	
i:	i:	
a:	a:	
u	u	
i	i	
a	a	
-	+	
e:	e:	loanword
h	x	
