Grapheme	IPA	Note
ch	tʃ	
w	w	
ll	ʎ	
sh	ʃ	
ts	ts	
a	a	
b	b	
d	d	
f	f	
g	g	
i	i	
j	x	
k	k	
l	l	
m	m	
n	n	
ñ	ɲ	
p	p	
r	ɾ	
s	s	
t	t	
u	u	
y	j	
z	z	
v	ɸ 	
h	x	
