Grapheme	IPA	Note
cch	k tʃ	
cc	χ	
pp	p	
tt	t	
qq	χ	
ʃʃ	s	
m	m	
n	n	
ñ	ɲ	
p	p	
ch	tʃ	
r	r	
hu	w	
qu	χ	
t	t	
ci	s i	
ç	s	
vi	w i	
ay	a j	
yʃ 	i s	
y	j	
ia	j a	
ll	ʎ	
h	h	
ʃ	s	
s	s	
au	a w	
a	a	
v	u	
u	u	
i	i	
o	u	
e	i	
c	k	
k	k	
z	s	
f	ʃ	
