Grapheme	IPA	Note
a:	a:	
u:	u:	
i:	i:	
a	a	
u	u	
i	i	
ʃ	ʃ	
ts	ts	
tʃ	tʃ	
tr	ʈʂ	
y	j	
k	k	
l	l	
p	p	
w	w	
t	t	
h	h	
m	m	
n	n	
ʔ	ʔ	
j	χ	
ŝ	ʂ	
ñ	ɲ	
s	s	
pʰ	pʰ	
ll	ʎ	
r	ɾ	
r$	r	
b	b	
d	d	
