Grapheme	IPA	Note
psha	ɸ ʂ a	
pshi	ɸ ʃ i	
pshu	ɸ ʂ u	
gsha	x ʂ a	
gshi	x ʃ i	
gshu	x ʂ u	
shi	ʃ i	
hu	w	
pch	ɸ tʃ	
pc	ɸ k	
pp	ɸ p	
pqu	ɸ x	
psh	ɸ ç	
ps	ɸ s	
pt	ɸ t	
nsh	n ʝ	
gch	x tʃ	
gc	x k	
gsh	x ç	
gp	x p	
gqu	x x	
gs	x s	
gt	x t	
g	g	
qu	x	
j	x	loan
ll	ʎ	
y	j	
p	p	
sh	ç	
ts	ts	
a	a	
i	i	
u	u	
b	b	
c	k	
ch	tʃ	
d	d	
l	l	
m	m	
n	n	
ñ	ɲ	
r	r	
s	s	
t	t	
í	i	
w	w	error in dic, should be <hu> orthographically
e	e	spanish loan
o	o	spanish loan
