Grapheme	IPA	Note
č'	tʃʼ	ejective
č	tʃ	
th	tʰ	
tj	tʲ	
dj	dʲ	
kh	kʰ	
ph	pʰ	
qh	qʰ	
λ	ʎ	
p'	pʼ	ejectives
t'	tʼ	
k'	kʼ	
q'	qʼ	
ts'	tsʼ	
ts	ts	
e:	e:	
ĉ	ʈʂ	
γ	ʁ	
ġ	ɢ	
φ	ɸ	
ŕ	r̥	
ř	r̝	
š	ʃ	
ŝ	ʂ	
a:	a:	
a	a	
o:	o:	
o	o	
u	u	
i	i	
b	b	
d	d	
f	f	
g	g	
h	h	
j	j	
k	k	
l	l	
m	m	
n	n	
p	p	
q	q	
r	r	
s	s	
t	t	
dz	dʒ	
w	w	
x	x	
z	z	
χ	χ	
ñ	ɲ	
y	y	
ž	ʒ	
ə	ə	
v	v	vwelë (spanish)
ë	ɛ	vwelë (spanish)
c	k	cuatro
β	β	
ó	o	spanish
ä	a	rama (branch, spanish)
í	i	spanish
e	e	
.$	NULL	
.	+	
(	NULL	
)	NULL	
-	NULL	
?	NULL	
~	NULL	
