"ID","LANGUAGE","ENGLISH","FORM","COMMENTS","SOURCE"
"Heggarty-2005-150-1","Anonimo","one","huc","","valera1586"
"Heggarty-2005-150-1","Apuri","one","huk","","shimelman2017"
"Heggarty-2005-150-1","Apurimac","one","huk, huj, huq","","camacho2007"
"Heggarty-2005-150-1","Arma","one","huk","","galvez2003"
"Heggarty-2005-150-1","Atalla","one","huk","","heggarty2005"
"Heggarty-2005-150-1","Ayacucho","one","huk","","soto1976"
"Heggarty-2005-150-1","Bobonaza","one","shuj","","orrwrisley1981"
"Heggarty-2005-150-1","Cacra-Hongos","one","huk","","shimelman2017"
"Heggarty-2005-150-1","Chachapoyas","one","suj","","taylor2006"
"Heggarty-2005-150-1","Chacpar","one","huk","","heggarty2005"
"Heggarty-2005-150-1","Chetilla","one","suχ","","heggarty2005"
"Heggarty-2005-150-1","Chipaya","one","zinta","","heggarty2005"
"Heggarty-2005-150-1","Curva","one","ux","","heggarty2005"
"Heggarty-2005-150-1","Cuzco","one","huχ","","heggarty2005"
"Heggarty-2005-150-1","CuzquenoAntiguo","one","huc","","holguin1608"
"Heggarty-2005-150-1","Huallaga","one","huk","","heggarty2005"
"Heggarty-2005-150-1","Huanca","one","suk, huk","","cerron2018"
"Heggarty-2005-150-1","Huancane","one","maya","","heggarty2005"
"Heggarty-2005-150-1","Huangascar","one","huk","","shimelman2017"
"Heggarty-2005-150-1","HuarazHuailas","one","huk",,"parkerchavez1976"
"Heggarty-2005-150-1","Imbabura","one","shuk","","gomez2009"
"Heggarty-2005-150-1","Inkawasi","one","uk","","heggarty2005"
"Heggarty-2005-150-1","Iruhito","one","tsi:","","cerron2016"
"Heggarty-2005-150-1","Jaqaru","one","maya","","heggarty2005"
"Heggarty-2005-150-1","Kawki","one","maya","","heggarty2005"
"Heggarty-2005-150-1","Lamas","one","suk","","taylor2006"
"Heggarty-2005-150-1","Laraos","one","huk","","heggarty2005"
"Heggarty-2005-150-1","Lincha-Tana","one","huk","","shimelman2017"
"Heggarty-2005-150-1","Maragua","one","ux","","heggarty2005"
"Heggarty-2005-150-1","Napo","one","shuj","","orrwrisley1981"
"Heggarty-2005-150-1","Pacaraos","one","huk","","adelaar1982"
"Heggarty-2005-150-1","Pastaza","one","shuc","","landerman1973"
"Heggarty-2005-150-1","Pocona","one","ux","","heggarty2005"
"Heggarty-2005-150-1","Puki","one","maya","","heggarty2005"
"Heggarty-2005-150-1","Puno","one","ux","","heggarty2005"
"Heggarty-2005-150-1","Putumayo","one","sug","","tandioy1978"
"Heggarty-2005-150-1","Raimondi","one","huk",,"parkerchavez1976"
"Heggarty-2005-150-1","SanPedro","one","huk","","shimelman2017"
"Heggarty-2005-150-1","Santiagueno","one","suk","","juanatey2021"
"Heggarty-2005-150-1","SantoTomas","one","ʃuc","","santotomas1951"
"Heggarty-2005-150-1","Serena","one","šux","","heggarty2005"
"Heggarty-2005-150-1","Sullkatiti","one","maya","","heggarty2005"
"Heggarty-2005-150-1","Taquile","one","ux","","heggarty2005"
"Heggarty-2005-150-1","Tarma","one","xuk","","adelaar1977"
"Heggarty-2005-150-1","Troje","one","šux","","heggarty2005"
"Heggarty-2005-150-1","Tsimu","one","pí:si","","cerron2016"
"Heggarty-2005-150-1","Wari","one","huk",,"parkerchavez1976"
"Heggarty-2005-150-1","Yanac","one","uk","","heggarty2005"
"Heggarty-2005-150-10","Anonimo","ten","chunca","","valera1586"
"Heggarty-2005-150-10","Apuri","ten","trunka","","shimelman2017"
"Heggarty-2005-150-10","Apurimac","ten","chunka","","camacho2007"
"Heggarty-2005-150-10","Arma","ten","chunka","","galvez2003"
"Heggarty-2005-150-10","Atalla","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Ayacucho","ten","chunka","","soto1976"
"Heggarty-2005-150-10","Bobonaza","ten","chunga","","orrwrisley1981"
"Heggarty-2005-150-10","Cacra-Hongos","ten","trunka","","shimelman2017"
"Heggarty-2005-150-10","Chachapoyas","ten","ĉunka","","taylor2006"
"Heggarty-2005-150-10","Chacpar","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Chetilla","ten","ĉunga","","heggarty2005"
"Heggarty-2005-150-10","Chipaya","ten","tunka","","heggarty2005"
"Heggarty-2005-150-10","Curva","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Cuzco","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","CuzquenoAntiguo","ten","chunca","","holguin1608"
"Heggarty-2005-150-10","Huallaga","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Huanca","ten","trunka","","cerron2018"
"Heggarty-2005-150-10","Huancane","ten","tunka","","heggarty2005"
"Heggarty-2005-150-10","Huangascar","ten","trunka","","shimelman2017"
"Heggarty-2005-150-10","HuarazHuailas","ten","chunka",,"parkerchavez1976"
"Heggarty-2005-150-10","Imbabura","ten","chunga","","gomez2009"
"Heggarty-2005-150-10","Inkawasi","ten","diez","","heggarty2005"
"Heggarty-2005-150-10","Iruhito","ten","ka:lo:","","cerron2016"
"Heggarty-2005-150-10","Jaqaru","ten","ĉunka","","heggarty2005"
"Heggarty-2005-150-10","Kawki","ten","ĉunka","","heggarty2005"
"Heggarty-2005-150-10","Lamas","ten","chunka","","taylor2006"
"Heggarty-2005-150-10","Laraos","ten","ĉunka","","heggarty2005"
"Heggarty-2005-150-10","Lincha-Tana","ten","trunka","","shimelman2017"
"Heggarty-2005-150-10","Maragua","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Napo","ten","chunga","","orrwrisley1981"
"Heggarty-2005-150-10","Pacaraos","ten","trunka","","adelaar1982"
"Heggarty-2005-150-10","Pastaza","ten","chingu","","landerman1973"
"Heggarty-2005-150-10","Pocona","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Puki","ten","tunka","","heggarty2005"
"Heggarty-2005-150-10","Puno","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Putumayo","ten","chunga","","tandioy1978"
"Heggarty-2005-150-10","Raimondi","ten","chunka",,"parkerchavez1976"
"Heggarty-2005-150-10","SanPedro","ten","trunka","","shimelman2017"
"Heggarty-2005-150-10","Santiagueno","ten","chunka","in disuse","juanatey2021"
"Heggarty-2005-150-10","SantoTomas","ten","chunka","","santotomas1951"
"Heggarty-2005-150-10","Serena","ten","čunga","","heggarty2005"
"Heggarty-2005-150-10","Sullkatiti","ten","tunka","","heggarty2005"
"Heggarty-2005-150-10","Taquile","ten","čunka","","heggarty2005"
"Heggarty-2005-150-10","Tarma","ten","ĉun̊ka","","adelaar1977"
"Heggarty-2005-150-10","Troje","ten","čunga","","heggarty2005"
"Heggarty-2005-150-10","Tsimu","ten","khá:r̂o","","cerron2016"
"Heggarty-2005-150-10","Wari","ten","chunka",,"parkerchavez1976"
"Heggarty-2005-150-10","Yanac","ten","ĉunka","","heggarty2005"
"Heggarty-2005-150-100","Anonimo","green","mana pocoʃca, chahua","verde fruta","valera1586"
"Heggarty-2005-150-100","Apuri","green","","","shimelman2017"
"Heggarty-2005-150-100","Apurimac","green","kuku","","camacho2007"
"Heggarty-2005-150-100","Arma","green","","llullu: inmaduro","galvez2003"
"Heggarty-2005-150-100","Atalla","green","χiwa","","heggarty2005"
"Heggarty-2005-150-100","Ayacucho","green","qumiř","Huancavelica only","parker1969"
"Heggarty-2005-150-100","Bobonaza","green","birdi","","orrwrisley1981"
"Heggarty-2005-150-100","Cacra-Hongos","green","","","shimelman2017"
"Heggarty-2005-150-100","Chachapoyas","green","chikyaj","","taylor2006"
"Heggarty-2005-150-100","Chacpar","green","verde","","heggarty2005"
"Heggarty-2005-150-100","Chetilla","green","čiγyax","","heggarty2005"
"Heggarty-2005-150-100","Chipaya","green","č'ojña","","heggarty2005"
"Heggarty-2005-150-100","Curva","green","q'umir","","heggarty2005"
"Heggarty-2005-150-100","Cuzco","green","q'umir","","heggarty2005"
