# Wordlist

# DATA
ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
3891	s a: m a	54	back	Jaqaru	sa:ma	espalda	s a: m a	sa:ma			heggarty2005	Aymara
3892	s a m a	54	back	Kawki	sama	espalda	s a m a	sama			heggarty2005	Aymara
3893	w a ʃ a	51	back	Lamas	washa	espalda	w a ʃ a	washa			taylor2006	Quechua
3894	w a ʃ a	51	back	Laraos	waša	espalda	w a ʃ a	waša			heggarty2005	Quechua
3895	w a ʃ a	51	back	Lincha-Tana	washa	espalda	w a ʃ a	washa			shimelman2017	Quechua
3896	w a s a	51	back	Maragua	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3897	w a ʃ a	51	back	Napo	huasha	espalda	w a ʃ a	huasha			orrwrisley1981	Quechua
3898	w a ʃ a	51	back	Pacaraos	washa	espalda	w a ʃ a	washa			adelaar1982	Quechua
3899	w a ʃ a	51	back	Pastaza	washa	espalda	w a ʃ a	washa			landerman1973	Quechua
3900	w a s a	51	back	Pocona	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3901	h i kʰ a n a	50	back	Puki	hikhana	espalda	h i kʰ a n a	hikhana			heggarty2005	Aymara
3902	w a s a	51	back	Puno	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3903	w a s a	51	back	Putumayo	huasa	espalda	w a s a	huasa			tandioy1978	Quechua
3904	w a q t a	72	back	Raimondi	waqta	espalda	w a q t a	waqta			parkerchavez1976	Quechua
3905	w a ʃ a	51	back	SanPedro	washa	espalda	w a ʃ a	washa			shimelman2017	Quechua
3906	w a s a	51	back	Santiagueno	wasa	espalda	w a s a	wasa			juanatey2021	Quechua
3907	w a k t a	72	back	SantoTomas	guacta	espalda	w a k t a	guacta			santotomas1951	Quechua
3908	w a ʃ a	51	back	Serena	waša	espalda	w a ʃ a	waša			heggarty2005	Quechua
3909	h i kʰ a n i	50	back	Sullkatiti	hikhani	espalda	h i kʰ a n i	hikhani			heggarty2005	Aymara
3910	w a s a	51	back	Taquile	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3911	w a ʃ a	51	back	Tarma	waša	espalda	w a ʃ a	waša			adelaar1977	Quechua
3912	w a ʃ a	51	back	Troje	waša	espalda	w a ʃ a	waša			heggarty2005	Quechua
3913	tʰ oː tʰ a	53	back	Tsimu	thó:thá	espalda	tʰ oː tʰ a	thó:thá			cerron2016	Uru-Chipaya
3914	w a q t a	72	back	Wari	waqta	espalda	w a q t a	waqta			parkerchavez1976	Quechua
3915	w a q t a	72	back	Yanac	waqta	espalda	w a q t a	waqta, waχta			heggarty2005	Quechua
3916	w a χ t a	72	back	Yanac	waχta	espalda	w a χ t a	waqta, waχta			heggarty2005	Quechua
7444	w a ʃ a	51	back	Azuay	huasha	espalda	w a ʃ a	huasha				
7576	w a ʂ a	51	back	Jauja	waŝa	espalda	w a ʂ a	waŝa				
#
550	- ɔ n k ɔ - + n i	99	be sick	Anonimo	onconi	estar enfermo	ɔ n k ɔ + n i	onconi, oncocuni			valera1586	Quechua
551	- ɔ n k ɔ - + k u + n i	99	be sick	Anonimo	oncocuni	estar enfermo	ɔ n k ɔ + k u + n i	onconi, oncocuni			valera1586	Quechua
552	- o ŋ q u -	99	be sick	Apuri	unqu-	estar enfermo	o ŋ q u	unqu-			shimelman2017	Quechua
553	- o n q o - + tʃ i	99	be sick	Apurimac	onqochi	estar enfermo	o n q o + tʃ i	onqochi			camacho2007	Quechua
554	- u ŋ χ u -	99	be sick	Arma	unqu	estar enfermo	u ŋ χ u	unqu			galvez2003	Quechua
555	- u n ɢ u -	99	be sick	Atalla	unġu	estar enfermo	u n ɢ u	unġu			heggarty2005	Quechua
556	- o ŋ χ o -	99	be sick	Ayacucho	onqo	estar enfermo	o ŋ χ o	onqo			soto1976	Quechua
557	- u n g u - + tʃ i + n a	99	be sick	Bobonaza	unguchina	estar enfermo	u n g u + tʃ i + n a	unguchina			orrwrisley1981	Quechua
558	- o ŋ q u -	99	be sick	Cacra-Hongos	unqu-	estar enfermo	o ŋ q u	unqu-			shimelman2017	Quechua
559	ɢ i ʃ i j a	100	be sick	Chacpar	ġišiya.	estar enfermo	ɢ i ʃ i j a	ġišiya.			heggarty2005	Quechua
560	q i ʃ a - -	100	be sick	Chetilla	qiyša.	estar enfermo	q i ʃ a	qiyša.			heggarty2005	Quechua
561	- a - z - - i n - + z	105	be sick	Chipaya	azín.z	estar enfermo	a z i n + z	azín.z; laa.khi.z			heggarty2005	Uru-Chipaya
562	l a a + - - - kʰ i - - - - + - - - z - - - - -	102	be sick	Chipaya	laa.khi.z	estar enfermo	l a a + kʰ i + z	azín.z; laa.khi.z			heggarty2005	Uru-Chipaya
563	- u n q u -	99	be sick	Curva	unqu	estar enfermo	u n q u	unqu			heggarty2005	Quechua
564	- u n q u -	99	be sick	Cuzco	unqu	estar enfermo	u n q u	unqu			heggarty2005	Quechua
565	- u n χ u - + n i + n	99	be sick	CuzquenoAntiguo	vncconin	estar enfermo	u n χ u + n i + n	vncconin			holguin1608	Quechua
566	q i ʃ - j a	100	be sick	Huallaga	qišya.	estar enfermo	q i ʃ j a	qišya.			heggarty2005	Quechua
567	ʔ i ʃ - j a	100	be sick	Huanca	qishyay	estar enfermo	ʔ i ʃ j a	qishyay				Quechua
569	u s u	123	be sick	Huancane	usu	estar enfermo	u s u	usu			heggarty2005	Aymara
570	- o ŋ q u -	99	be sick	Huangascar	unqu-	estar enfermo	o ŋ q u	unqu-			shimelman2017	Quechua
571	- u n k u - + ʃ k a	99	be sick	Imbabura	unkushka	estar enfermo	u n k u + ʃ k a	unkushka		sick (adjective)	gomez2009	Quechua
572	q i ʃ a - -	100	be sick	Inkawasi	qiša.	estar enfermo	q i ʃ a	qiša.			heggarty2005	Quechua
573	u s u	123	be sick	Jaqaru	usu	estar enfermo	u s u	usu			heggarty2005	Aymara
574	u s u	123	be sick	Kawki	usu	estar enfermo	u s u	usu			heggarty2005	Aymara
575	- u n g u -	99	be sick	Lamas	unku	estar enfermo	u n g u	unku			park1976	Quechua
576	q i ʃ a - -	100	be sick	Laraos	qiša.	estar enfermo	q i ʃ a	qiša.			heggarty2005	Quechua
577	- o ŋ q u -	99	be sick	Lincha-Tana	unqu-	estar enfermo	o ŋ q u	unqu-			shimelman2017	Quechua
578	- u n q u -	99	be sick	Maragua	unqu	estar enfermo	u n q u	unqu			heggarty2005	Quechua
579	- u n g u - + tʃ i + n a	99	be sick	Napo	unguchina	estar enfermo	u n g u + tʃ i + n a	unguchina			orrwrisley1981	Quechua
580	χ e ʃ - j a	100	be sick	Pacaraos	qishya	estar enfermo	χ e ʃ j a	qishya			adelaar1982	Quechua
581	- u n g u - + n a	99	be sick	Pastaza	unguna	estar enfermo	u n g u + n a	unguna			landerman1973	Quechua
582	- u n ʁ u -	99	be sick	Pocona	unγu	estar enfermo	u n ʁ u	unγu			heggarty2005	Quechua
583	u s u	123	be sick	Puki	usu	estar enfermo	u s u	usu			heggarty2005	Aymara
584	- u n q u -	99	be sick	Puno	unqu	estar enfermo	u n q u	unqu			heggarty2005	Quechua
585	- u n g u -	99	be sick	Putumayo	ungu	estar enfermo	u n g u	ungu			tandioy1978	Quechua
586	- o ŋ q u -	99	be sick	SanPedro	unqu-	estar enfermo	o ŋ q u	unqu-			shimelman2017	Quechua
587	- o ŋ q o s	99	be sick	Santiagueno	onqos	estar enfermo	o ŋ q o s	onqos			juanatey2021	Quechua
588	h u n k u - + n i	99	be sick	SantoTomas	huncuni	estar enfermo	h u n k u + n i	huncuni, quixiani			santotomas1951	Quechua
589	q i χ - j a + n i	100	be sick	SantoTomas	quixiani	estar enfermo	q i χ j a + n i	huncuni, quixiani			santotomas1951	Quechua
590	- u n g u -	99	be sick	Serena	ungu	estar enfermo	u n g u	ungu			heggarty2005	Quechua
591	u s u	123	be sick	Sullkatiti	usu	estar enfermo	u s u	usu			heggarty2005	Aymara
592	- u n q u -	99	be sick	Taquile	unqu	estar enfermo	u n q u	unqu			heggarty2005	Quechua
593	χ e ʃ - j a	100	be sick	Tarma	xišya	estar enfermo	χ e ʃ j a	xišya				Quechua
594	- u n g u -	99	be sick	Troje	ungu	estar enfermo	u n g u	ungu			heggarty2005	Quechua
595	q i ʃ - j a	100	be sick	Yanac	qišya.	estar enfermo	q i ʃ j a	qiš(i)ya., ġišya			heggarty2005	Quechua
7518	- u n g u - + k u + n a	99	be sick	Azuay	ungu-cu-na	estar enfermo	u n g u + k u + n a	ungu-cu-na				
7577	h i ʃ - j a	100	be sick	Jauja	qishyay	estar enfermo	h i ʃ j a	qishyay				
#
4311	w i k s a	150	belly (stomach)	Anonimo	vicça	barriga	w i k s a	vicça			valera1586	Quechua
4312	w i k s a	150	belly (stomach)	Apuri	wiksa	barriga	w i k s a	wiksa			shimelman2017	Quechua
4313	w i k s a	150	belly (stomach)	Apurimac	wiksa	barriga	w i k s a	wiksa			camacho2007	Quechua
4314	w i k s a	150	belly (stomach)	Arma	wiksa	barriga	w i k s a	wiksa			galvez2003	Quechua
4315	w i k s a	150	belly (stomach)	Atalla	wiksa	barriga	w i k s a	wiksa			heggarty2005	Quechua
4316	w i k s a	150	belly (stomach)	Ayacucho	wiksa	barriga	w i k s a	wiksa			soto1976	Quechua
4317	w i k s a	150	belly (stomach)	Bobonaza	huicsa	barriga	w i k s a	huicsa		abdomen	orrwrisley1981	Quechua
4318	w i k s a	150	belly (stomach)	Cacra-Hongos	wiksa	barriga	w i k s a	wiksa			shimelman2017	Quechua
4319	w i k s a	150	belly (stomach)	Chachapoyas	wiksa	barriga	w i k s a	wiksa			taylor2006	Quechua
4320	p a tʃ a	151	belly (stomach)	Chacpar	pača	barriga	p a tʃ a	pača			heggarty2005	Quechua
4321	p a ʈʂ a	151	belly (stomach)	Chetilla	paĉa	barriga	p a ʈʂ a	paĉa			heggarty2005	Quechua
4322	pʰ u tʃ -	64	belly (stomach)	Chipaya	phuč	barriga	pʰ u tʃ	phuč			heggarty2005	Uru-Chipaya
4323	w i x s a	150	belly (stomach)	Curva	wixsa	barriga	w i x s a	wixsa, wisa			heggarty2005	Quechua
4324	w i - s a	150	belly (stomach)	Curva	wisa	barriga	w i s a	wixsa, wisa			heggarty2005	Quechua
4325	w i x s a	150	belly (stomach)	Cuzco	wixsa	barriga	w i x s a	wixsa			heggarty2005	Quechua
4326	w i k s a	150	belly (stomach)	CuzquenoAntiguo	vicça	barriga	w i k s a	vicça			holguin1608	Quechua
4327	p a tʃ a	151	belly (stomach)	Huallaga	pača	barriga	p a tʃ a	pača			heggarty2005	Quechua
4328	p a t a	151	belly (stomach)	Huanca	pata	barriga	p a t a	pata			cerron2018	Quechua
4329	p u r a + k a	64 152	belly (stomach)	Huancane	pura.ka	barriga	p u r a + k a	pura.ka			heggarty2005	Aymara
4330	w i k s a	150	belly (stomach)	Huangascar	wiksa	barriga	w i k s a	wiksa			shimelman2017	Quechua
4331	p a tʃ a	151	belly (stomach)	HuarazHuailas	pacha	barriga	p a tʃ a	pacha			parkerchavez1976	Quechua
4332	w i k s a	150	belly (stomach)	Imbabura	wiksa	barriga	w i k s a	wiksa			gomez2009	Quechua
4333	p a ʈʂ a	151	belly (stomach)	Inkawasi	paĉa	barriga	p a ʈʂ a	paĉa			heggarty2005	Quechua
4334	tʃ e: r i	65	belly (stomach)	Iruhito	tšé:r̂i	barriga	tʃ e: r i	tšé:r̂i, tóχsi		tsiri: barriga, toxsi: estomago		Uru-Chipaya
4335	t o χ s i	62	belly (stomach)	Iruhito	tóχsi	barriga	t o χ s i	tšé:r̂i, tóχsi		tsiri: barriga, toxsi: estomago		Uru-Chipaya
4336	pʰ u ʈʂ a + k a	64 152	belly (stomach)	Jaqaru	phuĉa.ka	barriga	pʰ u ʈʂ a + k a	phuĉa.ka			heggarty2005	Aymara
4337	pʰ u ʈʂ a + k a	64 152	belly (stomach)	Kawki	phuĉa.ka	barriga	pʰ u ʈʂ a + k a	phuĉa.ka			heggarty2005	Aymara
4338	w i k s a	150	belly (stomach)	Lamas	wiksa	barriga	w i k s a	wiksa			taylor2006	Quechua
4339	w i k s a	150	belly (stomach)	Laraos	wiksa	barriga	w i k s a	wiksa			heggarty2005	Quechua
4340	w i k s a	150	belly (stomach)	Lincha-Tana	wiksa	barriga	w i k s a	wiksa			shimelman2017	Quechua
4341	w i x s a	150	belly (stomach)	Maragua	wixsa	barriga	w i x s a	wixsa			heggarty2005	Quechua
4342	w i k s a	150	belly (stomach)	Napo	huicsa	barriga	w i k s a	huicsa		abdomen	orrwrisley1981	Quechua
4343	p a ʈʂ a	151	belly (stomach)	Pacaraos	patra	barriga	p a ʈʂ a	patra			adelaar1982	Quechua
4344	w i k s a	150	belly (stomach)	Pastaza	vicsa	barriga	w i k s a	vicsa			landerman1973	Quechua
4345	w i - s a	150	belly (stomach)	Pocona	wisa	barriga	w i s a	wisa			heggarty2005	Quechua
4346	p u r a + k a	64 152	belly (stomach)	Puki	pura.ka	barriga	p u r a + k a	pura.ka			heggarty2005	Aymara
4347	w i k s a	150	belly (stomach)	Puno	wiksa	barriga	w i k s a	wiksa			heggarty2005	Quechua
4348	w i x s a	150	belly (stomach)	Putumayo	huigsa	barriga	w i x s a	huigsa			tandioy1978	Quechua
4349	p a tʃ a	151	belly (stomach)	Raimondi	pacha	barriga	p a tʃ a	pacha			parkerchavez1976	Quechua
4350	w i k s a	150	belly (stomach)	SanPedro	wiksa	barriga	w i k s a	wiksa			shimelman2017	Quechua
4351	w i x s a	150	belly (stomach)	Santiagueno	wiksa	barriga	w i x s a	wiksa			juanatey2021	Quechua
4352	w i k s a	150	belly (stomach)	SantoTomas	vicça	barriga	w i k s a	vicça			santotomas1951	Quechua
4353	- i k s a	150	belly (stomach)	Serena	iksa	barriga	i k s a	iksa			heggarty2005	Quechua
4354	p u r a + k a	64 152	belly (stomach)	Sullkatiti	pura.ka	barriga	p u r a + k a	pura.ka			heggarty2005	Aymara
4355	w i - s a	150	belly (stomach)	Taquile	wisa	barriga	w i s a	wisa			heggarty2005	Quechua
4356	p a ʈʂ a	151	belly (stomach)	Tarma	paĉa	barriga	p a ʈʂ a	paĉa			adelaar1977	Quechua
4357	w i x s a	150	belly (stomach)	Troje	wixsa	barriga	w i x s a	wixsa			heggarty2005	Quechua
4358	tʃ i: r i	65	belly (stomach)	Tsimu	tší:r̂i	barriga	tʃ i: r i	tší:r̂i, tóχsi		tsiri: barriga, toxsi: estomago		Uru-Chipaya
4359	t o χ s i	62	belly (stomach)	Tsimu	tóχsi	barriga	t o χ s i	tší:r̂i, tóχsi		tsiri: barriga, toxsi: estomago		Uru-Chipaya
4360	p a tʃ a	151	belly (stomach)	Wari	pacha	barriga	p a tʃ a	pacha			parkerchavez1976	Quechua
4361	p a ʈʂ a	151	belly (stomach)	Yanac	paĉa	barriga	p a ʈʂ a	paĉa			heggarty2005	Quechua
7452		150	belly (stomach)	Azuay	huigsa	barriga	w i χ a	huigsa				
7583	p a t a	151	belly (stomach)	Jauja	pata	barriga	p a t a	pata				
#
191	h a t u n	207	big	Anonimo	hatun	grande	h a t u n	hatun			valera1586	Quechua
192	h a t u n	207	big	Apuri	hatun	grande	h a t u n	hatun			shimelman2017	Quechua
193	h a t u n	207	big	Apurimac	hatun	grande	h a t u n	hatun			camacho2007	Quechua
194	h a t u ŋ	207	big	Arma	hatun	grande	h a t u ŋ	hatun			galvez2003	Quechua
195	h a t u n	207	big	Atalla	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
196	h a t u ŋ	207	big	Ayacucho	hatun	grande	h a t u ŋ	hatun			soto1976	Quechua
197	h a t u n	207	big	Bobonaza	jatun	grande	h a t u n	jatun			orrwrisley1981	Quechua
198	h a t u n	207	big	Cacra-Hongos	hatun	grande	h a t u n	hatun			shimelman2017	Quechua
199	- a t u n	207	big	Chachapoyas	atun	grande	a t u n	atun			taylor2006	Quechua
200	h a t u n	207	big	Chacpar	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
201	- a t u n	207	big	Chetilla	atun	grande	a t u n	atun			heggarty2005	Quechua
202	m i k t a - - - -	84	big	Chipaya	mikta	grande	m i k t a	mikta;			heggarty2005	Uru-Chipaya
203	- a tʰ u n	207	big	Curva	athun	grande	a tʰ u n	athun			heggarty2005	Quechua
204	h a t u n	207	big	Cuzco	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
205	h a t u n	207	big	CuzquenoAntiguo	hatun	grande	h a t u n	hatun			holguin1608	Quechua
206	h a t u n	207	big	Huallaga	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
207	h a t u n	207	big	Huanca	hatun	grande	h a t u n	hatun			cerron2018	Quechua
209	h a tʃʼ - - a	85	big	Huancane	hač'a	grande	h a tʃʼ a	hač'a			heggarty2005	Aymara
210	h a t u n	207	big	Huangascar	hatun	grande	h a t u n	hatun			shimelman2017	Quechua
211	j a ʃ q - a	85	big	HuarazHuailas	yashqa	grande	j a ʃ q a	yashqa	aymara		parkerchavez1976	Quechua
212	x a t u n	207	big	Imbabura	jatun	grande	x a t u n	jatun			gomez2009	Quechua
213	- a t u n	207	big	Inkawasi	atun	grande	a t u n	atun			heggarty2005	Quechua
214	ts a k u a	208	big	Iruhito	tsákua	grande	ts a k u a	tsákua		puquina	cerron2016	Uru-Chipaya
215	- a - x tsʼ a	85	big	Jaqaru	axts'a	grande	a x tsʼ a	axts'a			heggarty2005	Aymara
216	- a s ʈʂ’ - a	85	big	Kawki	asĉ'a	grande	a s ʈʂ’ a	asĉ'a			heggarty2005	Aymara
217	- a t u n	207	big	Lamas	atun	grande	a t u n	atun			taylor2006	Quechua
218	h a t u n	207	big	Laraos	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
219	h a t u n	207	big	Lincha-Tana	hatun	grande	h a t u n	hatun			shimelman2017	Quechua
220	h a t u n	207	big	Maragua	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
221	h a t u n	207	big	Napo	jatun	grande	h a t u n	jatun			orrwrisley1981	Quechua
222	x a t u ŋ	207	big	Pacaraos	hatun	grande	x a t u ŋ	hatun			adelaar1982	Quechua
223	- a t u n	207	big	Pastaza	atun	grande	a t u n	atun			landerman1973	Quechua
224	h a t u n	207	big	Pocona	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
225	h a tʃʼ - - a	85	big	Puki	hač'a	grande	h a tʃʼ a	hač'a			heggarty2005	Aymara
226	h a t u n	207	big	Puno	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
227	- a t u n	207	big	Putumayo	atun	grande	a t u n	atun			tandioy1978	Quechua
228	h a t u n	207	big	SanPedro	hatun	grande	h a t u n	hatun			shimelman2017	Quechua
229	- a t u n	207	big	Santiagueno	atun	grande	a t u n	atun			juanatey2021	Quechua
230	- a t u n	207	big	SantoTomas	atun	grande	a t u n	atun			santotomas1996	Quechua
231	- a t u n	207	big	Serena	atun	grande	a t u n	atun			heggarty2005	Quechua
232	h a tʃʼ - - a	85	big	Sullkatiti	hač'a	grande	h a tʃʼ a	hač'a			heggarty2005	Aymara
233	- a tʰ u n	207	big	Taquile	athun	grande	a tʰ u n	athun			heggarty2005	Quechua
234	χ a t u ŋ	207	big	Tarma	xatun̊	grande	χ a t u ŋ	xatun̊			adelaar1977	Quechua
235	h a t u n	207	big	Troje	hatun	grande	h a t u n	hatun			heggarty2005	Quechua
