# Wordlist

# DATA
ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
#
6162	u tʃ p a	1	ash	Anonimo	vchpa	ceniza	u tʃ p a	vchpa			valera1586	Quechua
6163	u ʈ - p a	1	ash	Apuri	utrpa	ceniza	u ʈ p a	utrpa			shimelman2017	Quechua
6164	u s - p a	1	ash	Apurimac	uspa	ceniza	u s p a	uspa			camacho2007	Quechua
6165	u tʃ - p a	1	ash	Arma	uchpa	ceniza	u tʃ p a	uchpa			galvez2003	Quechua
6166	u tʃ - p a	1	ash	Atalla	učpa	ceniza	u tʃ p a	učpa			heggarty2005	Quechua
6167	u tʃ - p a	1	ash	Ayacucho	uchpa	ceniza	u tʃ p a	uchpa			soto1976	Quechua
6168	u ʃ - p a	1	ash	Bobonaza	ushpa	ceniza	u ʃ p a	ushpa			orrwrisley1981	Quechua
6169	u ʈ - p a	1	ash	Cacra-Hongos	utrpa	ceniza	u ʈ p a	utrpa			shimelman2017	Quechua
6170	u ʈʂ - p a	1	ash	Chachapoyas	uĉpa	ceniza	u ʈʂ p a	uĉpa			taylor2006	Quechua
6171	u tʃ - p a	1	ash	Chacpar	učpa	ceniza	u tʃ p a	učpa			heggarty2005	Quechua
6172	u ʂ - p a	1	ash	Chetilla	uŝpa	ceniza	u ʂ p a	uŝpa			heggarty2005	Quechua
6173	qʰ u - p -	2	ash	Chipaya	qhup	ceniza	qʰ u p	qhup			heggarty2005	Uru-Chipaya
6174	u tʃ - pʰ a	1	ash	Curva	učpha	ceniza	u tʃ pʰ a	učpha			heggarty2005	Quechua
6175	u s - pʰ a	1	ash	Cuzco	uspha	ceniza	u s pʰ a	uspha			heggarty2005	Quechua
6176	u tʃ - p a	1	ash	CuzquenoAntiguo	vchpa	ceniza	u tʃ p a	vchpa			holguin1608	Quechua
6177	u tʃ - p a	1	ash	Huallaga	učpa	ceniza	u tʃ p a	učpa			heggarty2005	Quechua
6178	u ʈʂ - p a	1	ash	Huanca	utrpa	ceniza	u ʈʂ p a	utrpa			cerron2018	Quechua
6179	qʰ i ʎ - a	2	ash	Huancane	qhiλa	ceniza	qʰ i ʎ a	qhiλa			heggarty2005	Aymara
6180	u ʈ - p a	1	ash	Huangascar	utrpa	ceniza	u ʈ p a	utrpa			shimelman2017	Quechua
6181	u tʃ - p a	1	ash	HuarazHuailas	uchpa	ceniza	u tʃ p a	uchpa			parkerchavez1976	Quechua
6182	u tʃ u f a	1	ash	Imbabura	uchufa	ceniza	u tʃ u f a	uchufa			gomez2009	Quechua
6183	u ʈʂ - p a	1	ash	Inkawasi	uĉpa	ceniza	u ʈʂ p a	uĉpa			heggarty2005	Quechua
6184	k i l j a	2	ash	Iruhito	kílya	ceniza	k i l j a	kílya			cerron2016	Uru-Chipaya
6185	qʰ i ʎ p i	2	ash	Jaqaru	qhiλpi	ceniza	qʰ i ʎ p i	qhiλpi			heggarty2005	Aymara
6186	qʰ i ʎ p i	2	ash	Kawki	qhiλpi	ceniza	qʰ i ʎ p i	qhiλpi			heggarty2005	Aymara
6187	u tʃ - p a	1	ash	Lamas	uchpa	ceniza	u tʃ p a	uchpa			taylor2006	Quechua
6188	u ʈʂ - p a	1	ash	Laraos	uĉpa	ceniza	u ʈʂ p a	uĉpa			heggarty2005	Quechua
6189	u ʈ - p a	1	ash	Lincha-Tana	utrpa	ceniza	u ʈ p a	utrpa			shimelman2017	Quechua
6190	u ʃ - pʰ a	1	ash	Maragua	ušpha	ceniza	u ʃ pʰ a	ušpha			heggarty2005	Quechua
6191	u ʃ - p a	1	ash	Napo	ushpa	ceniza	u ʃ p a	ushpa			orrwrisley1981	Quechua
6192	u ʈʂ - p a	1	ash	Pacaraos	utrpa	ceniza	u ʈʂ p a	utrpa			adelaar1982	Quechua
6193	u tʃ - p a	1	ash	Pastaza	uchpa	ceniza	u tʃ p a	uchpa			landerman1973	Quechua
6194	u ʃ - pʰ a	1	ash	Pocona	ušpha	ceniza	u ʃ pʰ a	ušpha			heggarty2005	Quechua
6195	qʰ i ʎ - a	2	ash	Puki	qhiλa	ceniza	qʰ i ʎ a	qhiλa			heggarty2005	Aymara
6196	u s - pʰ a	1	ash	Puno	uspha	ceniza	u s pʰ a	uspha			heggarty2005	Quechua
6197	u tʃ - p a	1	ash	Putumayo	uchpa	ceniza	u tʃ p a	uchpa			tandioy1978	Quechua
6198	u tʃ - p a	1	ash	Raimondi	uchpa	ceniza	u tʃ p a	uchpa			parkerchavez1976	Quechua
6199	u ʈ - p a	1	ash	SanPedro	utrpa	ceniza	u ʈ p a	utrpa			shimelman2017	Quechua
6200	u ʃ - p a	1	ash	Santiagueno	ushpa	ceniza	u ʃ p a	ushpa			juanatey2021	Quechua
6201	u χ - p a	1	ash	SantoTomas	vxpa	ceniza	u χ p a	vxpa			santotomas1951	Quechua
6202	u ʃ - p a	1	ash	Serena	ušpa	ceniza	u ʃ p a	ušpa			heggarty2005	Quechua
6203	qʰ i ʎ - a	2	ash	Sullkatiti	qhiλa	ceniza	qʰ i ʎ a	qhiλa			heggarty2005	Aymara
6204	u ʃ - pʰ a	1	ash	Taquile	ušpha	ceniza	u ʃ pʰ a	ušpha			heggarty2005	Quechua
6205	χ o χ e ʈʂ a	3	ash	Tarma	xuxiĉa	ceniza	χ o χ e ʈʂ a	xuxiĉa			adelaar1977	Quechua
6206	u ʃ - p a	1	ash	Troje	ušpa	ceniza	u ʃ p a	ušpa			heggarty2005	Quechua
6207	k iː l j a	2	ash	Tsimu	kí:lya	ceniza	k iː l j a	kí:lya			cerron2016	Uru-Chipaya
6208	u tʃ - p a	1	ash	Wari	uchpa	ceniza	u tʃ p a	uchpa			parkerchavez1976	Quechua
6209	u tʃ - p a	1	ash	Yanac	učpa	ceniza	u tʃ p a	učpa			heggarty2005	Quechua
7486	u tʃ u p a	1	ash	Azuay	uchupa	ceniza	u tʃ u p a	uchupa				
7575	u ʈʂ - p a	1	ash	Jauja	utrpa	ceniza	u ʈʂ p a	utrpa				
#
3869	w a ʃ a	51	back	Anonimo	huaʃʃa	espalda	w a ʃ a	huaʃʃa			valera1586	Quechua
3870	w a ʃ a	51	back	Apuri	washa	espalda	w a ʃ a	washa			shimelman2017	Quechua
3871	w a s a	51	back	Apurimac	wasa	espalda	w a s a	wasa			camacho2007	Quechua
3872	w a s a	51	back	Atalla	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3873	w a s a	51	back	Ayacucho	wasa	espalda	w a s a	wasa			soto1976	Quechua
3874	w a ʃ a	51	back	Bobonaza	huasha	espalda	w a ʃ a	huasha			orrwrisley1981	Quechua
3875	w a ʃ a	51	back	Cacra-Hongos	washa	espalda	w a ʃ a	washa			shimelman2017	Quechua
3876	w a ʃ a	51	back	Chachapoyas	washa	espalda	w a ʃ a	washa			taylor2006	Quechua
3877	w a x t a	72	back	Chacpar	waxta	espalda	w a x t a	waxta			heggarty2005	Quechua
3878	w a x t a	72	back	Chetilla	waxta	espalda	w a x t a	waxta			heggarty2005	Quechua
3879	t a j	52	back	Chipaya	taj	espalda	t a j	taj(a)			heggarty2005	Uru-Chipaya
3880	w a s a	51	back	Curva	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3881	w a s a	51	back	Cuzco	wasa	espalda	w a s a	wasa			heggarty2005	Quechua
3882	w a s a	51	back	CuzquenoAntiguo	huassa	espalda	w a s a	huassa			holguin1608	Quechua
3883	w a χ t a	72	back	Huallaga	waχta	espalda	w a χ t a	waχta			heggarty2005	Quechua
3884	w a ʂ a	51	back	Huanca	waŝa	espalda	w a ʂ a	waŝa				Quechua
3885	h i kʰ a n i	50	back	Huancane	hikhani	espalda	h i kʰ a n i	hikhani			heggarty2005	Aymara
3886	w a ʃ a	51	back	Huangascar	washa	espalda	w a ʃ a	washa			shimelman2017	Quechua
3887	w a q t a	72	back	HuarazHuailas	waqta	espalda	w a q t a	waqta			parkerchavez1976	Quechua
3888	w a ʃ a	51	back	Imbabura	washa	espalda	w a ʃ a	washa			gomez2009	Quechua
3889	w a χ t a	72	back	Inkawasi	waχta	espalda	w a χ t a	waχta			heggarty2005	Quechua
3890	t o: t a	53	back	Iruhito	tó:ta	espalda	t o: t a	tó:ta			cerron2016	Uru-Chipaya
