DOCULECT	FORM	SOURCE
Arma	qillu	galvez2003
Atalla	χiλu	heggarty2005
Ayacucho	qellu	soto1976
Bobonaza	quillu	orrwrisley1981
Cacra-Hongos	qarwa	shimelman2017
Chachapoyas	killu	taylor2006
Chacpar	ġaλwa.š	heggarty2005
Chetilla	qarwa	heggarty2005
Chipaya	q'iλu	heggarty2005
Curva	q'iλu	heggarty2005
Cuzco	q'iλu	heggarty2005
CuzquenoAntiguo	qqello, ccarhua 	holguin1608
Huallaga	qarwa.š	heggarty2005
Huanca	alwa, halwa	cerron2018
Huanca	tunʔuŝ	cerron2018
Huancane	q'iλu	heggarty2005
Huangascar	qarwa	shimelman2017
HuarazHuailas	qarwash	parkerchavez1976
Imbabura	killu	gomez2009
Inkawasi	χarwa	heggarty2005
Iruhito	k’élyu	cerron2016
Jaqaru	tyuyu	heggarty2005
Kawki	qar.wa	heggarty2005
Lamas	killu	taylor2006
Laraos	qarwa.š	heggarty2005
Lincha-Tana	qarwa	shimelman2017
Maragua	q'iλu	heggarty2005
Napo	quillu	orrwrisley1981
Pacaraos	qarwa	adelaar1982
Pastaza	quillu	landerman1973
Pocona	q'iλu	heggarty2005
Puki	q'iλu	heggarty2005
Puno	q'iλu	heggarty2005
Putumayo	quillu	tandioy1978
Raimondi	qarwash	parkerchavez1976
SanPedro	qarwa	shimelman2017
Santiagueno	qellu	juanatey2021
SantoTomas	quillo, quello	santotomas1951
Serena	kiλu	heggarty2005
Sullkatiti	q'iλu	heggarty2005
Taquile	q'iλu	heggarty2005
Tarma	tiri	adelaar1977
Troje	kižu	heggarty2005
Tsimu	pá:ku:	cerron2016
Wari	qarwash	parkerchavez1976
Yanac	qarwa	heggarty2005
Anonimo	hatun	valera1586
Apuri	hatun	shimelman2017
Apurimac	hatun	camacho2007
Arma	hatun	galvez2003
Atalla	hatun	heggarty2005
Ayacucho	hatun	soto1976
Bobonaza	jatun	orrwrisley1981
Cacra-Hongos	hatun	shimelman2017
Chachapoyas	atun	taylor2006
Chacpar	hatun	heggarty2005
Chetilla	atun	heggarty2005
Chipaya	mikta;	heggarty2005
Curva	athun	heggarty2005
Cuzco	hatun	heggarty2005
CuzquenoAntiguo	hatun	holguin1608
Huallaga	hatun	heggarty2005
Huanca	hatun	cerron2018
Huanca	apu	cerron2018
Huancane	hač'a	heggarty2005
Huangascar	hatun	shimelman2017
HuarazHuailas	yashqa	parkerchavez1976
Imbabura	jatun	gomez2009
Inkawasi	atun	heggarty2005
Iruhito	tsákua	cerron2016
Jaqaru	axts'a	heggarty2005
Kawki	asĉ'a	heggarty2005
Lamas	atun	taylor2006
Laraos	hatun	heggarty2005
Lincha-Tana	hatun	shimelman2017
Maragua	hatun	heggarty2005
Napo	jatun	orrwrisley1981
Pacaraos	hatun	adelaar1982
Pastaza	atun	landerman1973
Pocona	hatun	heggarty2005
Puki	hač'a	heggarty2005
Puno	hatun	heggarty2005
Putumayo	atun	tandioy1978
Raimondi		parkerchavez1976
SanPedro	hatun	shimelman2017
Santiagueno	atun	juanatey2021
SantoTomas	atun	santotomas1996
Serena	atun	heggarty2005
Sullkatiti	hač'a	heggarty2005
Taquile	athun	heggarty2005
Tarma	xatun̊	adelaar1977
Troje	hatun	heggarty2005
Tsimu	tánsa	cerron2016
Wari	yashqa	parkerchavez1976
Yanac	atun	heggarty2005
Anonimo	hanan, hanac	valera1586
Apuri	hanay, witray	shimelman2017
Apurimac	hanan	camacho2007
Arma	hanay	galvez2003
Atalla	hana.χ	heggarty2005
Ayacucho	hanaq	soto1976
Bobonaza	jahua	orrwrisley1981
Cacra-Hongos	hanay, witray	shimelman2017
Chachapoyas	anaj	taylor2006
Chacpar	hana	heggarty2005
Chetilla	ana.χ	heggarty2005
Chipaya	tsewku	heggarty2005
Curva	hana.χ	heggarty2005
Cuzco	wiča.y	heggarty2005
CuzquenoAntiguo	hanan, hanak	holguin1608
Huallaga	hana	heggarty2005
Huanca	janay	cerron2018
Huancane	ala.ya	heggarty2005
Huangascar	hanay, witray	shimelman2017
HuarazHuailas	hana	parkerchavez1976
Imbabura	jatun	gomez2009
Inkawasi	ana.χ	heggarty2005
Iruhito		cerron2016
Jaqaru	ari.ya	heggarty2005
Kawki	ari.ya	heggarty2005
Lamas	anak	taylor2006
Laraos	hana.y	heggarty2005
Lincha-Tana	hanay, witray	shimelman2017
Maragua	pata	heggarty2005
Napo	jahua	orrwrisley1981
Pacaraos	hana	adelaar1982
Pastaza	awa	landerman1973
Pocona	pata	heggarty2005
Puki	ara.χa	heggarty2005
Puno	wiča.y	heggarty2005
Putumayo	ahuapi, huíchay	tandioy1978
Raimondi	hana	parkerchavez1976
SanPedro	hanay, witray	shimelman2017
Santiagueno	anaq	juanatey2021
SantoTomas	hananc	santotomas1951
Serena	ana.k	heggarty2005
Sullkatiti	ala.ya, .χa	heggarty2005
Taquile	hana.χ	heggarty2005
Tarma	xana	adelaar1977
Troje	hana.x	heggarty2005
Tsimu		cerron2016
Wari	hana	parkerchavez1976
Yanac	uma	heggarty2005
Anonimo	huchuy, huchuylla	valera1586
Apuri	taksa	shimelman2017
Apuri	uchuk	shimelman2017
Apuri	uchuklla	shimelman2017
Apurimac	chiki, chinki, chinli	camacho2007
Apurimac	huchuy, uchuy	camacho2007
Apurimac	taksa	camacho2007
Arma	taksa, uchuy	galvez2003
Atalla	taksa	heggarty2005
Ayacucho	taksa, uchuy	soto1976
Bobonaza	ichilla	orrwrisley1981
Cacra-Hongos	taksa	shimelman2017
Cacra-Hongos	uchuk	shimelman2017
Cacra-Hongos	uchuklla	shimelman2017
Chachapoyas	uchuaykka	taylor2006
Chacpar	ičik	heggarty2005
Chetilla	takša	heggarty2005
Chipaya	zqolta	heggarty2005
Curva	huč'uy	heggarty2005
Cuzco	huč'uy	heggarty2005
CuzquenoAntiguo	huchuy	holguin1608
Huallaga	ičik	heggarty2005
Huanca	utʃuk	cerron2018
Huanca	ta:kŝa	cerron2018
Huanca	akapa	cerron2018
Huanca	uru	cerron2018
Huancane	hisk'a	heggarty2005
Huangascar	taksa	shimelman2017
Huangascar	uchuk	shimelman2017
Huangascar	uchuklla	shimelman2017
HuarazHuailas	taksha	parkerchavez1976
Imbabura	uchilla	gomez2009
Inkawasi	takša	heggarty2005
Iruhito	u:tšó:ñi	cerron2016
Jaqaru	utyitya, uxtyitya	heggarty2005
Kawki	ityitya	heggarty2005
Lamas	taksha	taylor2006
Laraos	učuy	heggarty2005
Lincha-Tana	taksa	shimelman2017
Lincha-Tana	uchuk	shimelman2017
Lincha-Tana	uchuklla	shimelman2017
Maragua	huč'uy	heggarty2005
Napo	ichilla	orrwrisley1981
Pacaraos	uchuk	adelaar1982
Pastaza	uchilla	landerman1973
Pocona	huč'uy	heggarty2005
Puki	sik'a	heggarty2005
Puno	huč'uy	heggarty2005
Putumayo	uchulla	tandioy1978
Raimondi	taksha	parkerchavez1976
SanPedro	taksa	shimelman2017
SanPedro	uchuk	shimelman2017
SanPedro	uchuklla	shimelman2017
Santiagueno	utula	juanatey2021
SantoTomas	vchu	santotomas1996
Serena	iči.λa	heggarty2005
Sullkatiti	hisk'a	heggarty2005
Taquile	huč'uy	heggarty2005
Tarma	ičikla, takša	adelaar1977
Troje	uči.ža	heggarty2005
Tsimu	ú:tšu-uaí:ka	cerron2016
Wari	taksha	parkerchavez1976
Yanac	učuk, ičik	heggarty2005
Anonimo	ʃipas	valera1586
Apuri		shimelman2017
Apurimac	sipas	camacho2007
Arma	sipas, pasña	galvez2003
Atalla	sipa.s	heggarty2005
Ayacucho	sipas, pasña	soto1976
Bobonaza	malta	orrwrisley1981
Cacra-Hongos	maqta	shimelman2017
Chachapoyas	shipash	taylor2006
Chacpar	hipa.š	heggarty2005
Chetilla	šipa.š	heggarty2005
Chipaya	tur(a)	heggarty2005
Curva	sipa.s	heggarty2005
Cuzco	sipa.s	heggarty2005
CuzquenoAntiguo	ʃipas	holguin1608
Huallaga	wanka.š	heggarty2005
Huanca	lasak	cerron2018
Huanca	wamla	cerron2018
Huancane	tawaqa	heggarty2005
Huangascar		shimelman2017
HuarazHuailas		parkerchavez1976
Imbabura	warmi	gomez2009
Inkawasi	šipa.š	heggarty2005
Iruhito		cerron2016
Jaqaru	sipa.sa	heggarty2005
Kawki	sipa.sa	heggarty2005
Lamas	shipash	taylor2006
Laraos	sipa.s	heggarty2005
Lincha-Tana		shimelman2017
Maragua	sipa.s	heggarty2005
Napo	malta	orrwrisley1981
Pacaraos	hipash/rraqak	adelaar1982
Pastaza	shipas	landerman1973
Pocona	sipa.s	heggarty2005
Puki	tawaqu	heggarty2005
Puno	sipa.s	heggarty2005
Putumayo	sipas	tandioy1978
Raimondi		parkerchavez1976
SanPedro		shimelman2017
Santiagueno	sipas	juanatey2021
SantoTomas	sipas	santotomas1996
Serena	malta	heggarty2005
Sullkatiti	tawaqu	heggarty2005
Taquile	sipa.s	heggarty2005
Tarma	xibaš	adelaar1977
Troje	wambra	heggarty2005
Tsimu		cerron2016
Wari	malta	parkerchavez1976
Yanac	šipaš	heggarty2005
Anonimo	huayna	valera1586
Apuri	maqta	shimelman2017
Apurimac	malta, maqta	camacho2007
Apurimac	pasña	camacho2007
Apurimac	wayna	camacho2007
Arma	maqta	galvez2003
Atalla	maχta	heggarty2005
Ayacucho	maqta	soto1976
Bobonaza	malta	orrwrisley1981
Cacra-Hongos		shimelman2017
Chachapoyas	wayna	taylor2006
Chacpar	jobin	heggarty2005
Chetilla	wamra	heggarty2005
Chipaya	thowa	heggarty2005
Curva	wayna	heggarty2005
Cuzco	wayna	heggarty2005
CuzquenoAntiguo	huayna	holguin1608
Huallaga	wanka.š	heggarty2005
Huanca	wayna	cerron2018
Huanca	walaŝ	cerron2018
Huancane	wayna	heggarty2005
Huangascar	maqta	shimelman2017
HuarazHuailas		parkerchavez1976
Imbabura	jatun wambra	gomez2009
Inkawasi	maltu.n	heggarty2005
Iruhito		cerron2016
Jaqaru	musu	heggarty2005
Kawki	musu	heggarty2005
Lamas	wayna	taylor2006
Laraos	maχta	heggarty2005
Lincha-Tana	maqta	shimelman2017
Maragua	wayna	heggarty2005
Napo	malta	orrwrisley1981
Pacaraos	wamra	adelaar1982
Pastaza	musu	landerman1973
Pastaza	wayna	landerman1973
Pocona	wayna 	heggarty2005
Puki	wayna	heggarty2005
Puno	wayna	heggarty2005
Putumayo	musu	tandioy1978
Raimondi		parkerchavez1976
SanPedro		shimelman2017
Santiagueno	wayna	juanatey2021
SantoTomas	guayna	santotomas1996
Serena	malta	heggarty2005
Sullkatiti	wayna	heggarty2005
Taquile	wayna	heggarty2005
Tarma	walaš	adelaar1977
Troje	wambra	heggarty2005
Tsimu		cerron2016
Wari	moosu	parkerchavez1976
Yanac	joven	heggarty2005
Anonimo	machu	valera1586
Apuri	machu	shimelman2017
Apurimac	machu	camacho2007
Apurimac	mawka	camacho2007
Arma	machu	galvez2003
Atalla	maču, maču.ča	heggarty2005
Ayacucho	machu	soto1976
Bobonaza	rucu	orrwrisley1981
Cacra-Hongos		shimelman2017
Chachapoyas	machu	taylor2006
Chacpar	ruku	heggarty2005
Chetilla	viejo	heggarty2005
Chipaya	chakwa	heggarty2005
Curva	maču.la	heggarty2005
Cuzco	maču	heggarty2005
CuzquenoAntiguo	machu	holguin1608
Huallaga	awkis	heggarty2005
Huanca	awkiʃ	cerron2018
Huancane	ača.či	heggarty2005
Huangascar	yasqa	shimelman2017
HuarazHuailas	awkis	parkerchavez1976
Imbabura	ruku runa	gomez2009
Inkawasi	řuku	heggarty2005
Iruhito	a:pá:i	cerron2016
Jaqaru	ača.ka	heggarty2005
Kawki	ača.ka	heggarty2005
Lamas	machu	taylor2006
Laraos	awk(i).š	heggarty2005
Lincha-Tana		shimelman2017
Maragua	ača.či	heggarty2005
Napo	rucu	orrwrisley1981
Pacaraos	awkin	adelaar1982
Pastaza	ɾucu	landerman1973
Pocona	ača.či	heggarty2005
Puki	awki	heggarty2005
Puno	maču	heggarty2005
Putumayo	rucu	tandioy1978
Raimondi	awkis	parkerchavez1976
SanPedro		shimelman2017
Santiagueno	machu	juanatey2021
SantoTomas	awki	santotomas1951
Serena	ruku	heggarty2005
Sullkatiti	ači.či	heggarty2005
Taquile	maču	heggarty2005
Tarma	awgis	adelaar1977
Troje	řuku	heggarty2005
Tsimu	a:páya	cerron2016
Wari	awkis	parkerchavez1976
Yanac	awkis	heggarty2005
Anonimo	paya	valera1586
Apuri	paya	shimelman2017
Apurimac	paya	camacho2007
Arma	paya	galvez2003
Atalla	paya	heggarty2005
Ayacucho	paya	soto1976
Bobonaza	rucu	orrwrisley1981
Cacra-Hongos		shimelman2017
Chachapoyas	paya	taylor2006
Chacpar	čakwa.s	heggarty2005
Chetilla	vieja	heggarty2005
Chipaya	chakw	heggarty2005
Curva	paya	heggarty2005
Cuzco	paya	heggarty2005
CuzquenoAntiguo	paya	holguin1608
Huallaga	čakwa.n	heggarty2005
Huanca	tʃakwaŝ	cerron2018
Huancane	awila	heggarty2005
Huangascar		shimelman2017
HuarazHuailas	ruku	parkerchavez1976
Imbabura	paya warmi	gomez2009
Inkawasi	řuku, řuku.na	heggarty2005
Iruhito	átḁ́:o	cerron2016
Jaqaru	apa.ka	heggarty2005
Kawki	apa.ka	heggarty2005
Lamas	paya	taylor2006
Laraos	čakwa.š	heggarty2005
Lincha-Tana		shimelman2017
Maragua	ača.či	heggarty2005
Napo	rucu	orrwrisley1981
Pacaraos	chachas, sakwa	adelaar1982
Pastaza	paya	landerman1973
Pocona	paya	heggarty2005
Puki	awila	heggarty2005
Puno	paya	heggarty2005
Putumayo		tandioy1978
Raimondi	ruku	parkerchavez1976
SanPedro		shimelman2017
Santiagueno	paya	bravo1985
SantoTomas	chakwas, paya	santotomas1951
Serena	ruku	heggarty2005
Sullkatiti	awila	heggarty2005
Taquile	paya	heggarty2005
Tarma	čakwas	adelaar1977
Troje	paya	heggarty2005
Tsimu	átoχ	cerron2016
Wari	ruku	parkerchavez1976
Yanac	ĉakwa.s	heggarty2005
Anonimo	onconi, oncocuni	valera1586
Apuri	unqu-	shimelman2017
Apurimac	onqochi	camacho2007
Arma	unqu	galvez2003
Atalla	unġu	heggarty2005
Ayacucho	onqo	soto1976
Bobonaza	unguchina	orrwrisley1981
Cacra-Hongos	unqu-	shimelman2017
Chachapoyas		taylor2006
Chacpar	ġišiya.	heggarty2005
Chetilla	qiyša.	heggarty2005
Chipaya	azín.z; laa.khi.z	heggarty2005
Curva	unqu	heggarty2005
Cuzco	unqu	heggarty2005
CuzquenoAntiguo	vncconin	holguin1608
Huallaga	qišya.	heggarty2005
Huanca	hiʃya, ishya	cerron2018
Huancane	usu	heggarty2005
Huangascar	unqu-	shimelman2017
HuarazHuailas		parkerchavez1976
Imbabura	unkushka	gomez2009
Inkawasi	qiša.	heggarty2005
Iruhito		cerron2016
Jaqaru	usu	heggarty2005
Kawki	usu	heggarty2005
Lamas	unku	park1976
Laraos	qiša.	heggarty2005
Lincha-Tana	unqu-	shimelman2017
Maragua	unqu	heggarty2005
Napo	unguchina	orrwrisley1981
Pacaraos	qishya	adelaar1982
Pastaza	unguna	landerman1973
Pocona	unγu	heggarty2005
Puki	usu	heggarty2005
Puno	unqu	heggarty2005
Putumayo	ungu	tandioy1978
Raimondi		parkerchavez1976
SanPedro	unqu-	shimelman2017
Santiagueno	onqos	juanatey2021
SantoTomas	huncuni, quixiani	santotomas1951
Serena	ungu	heggarty2005
Sullkatiti	usu	heggarty2005
Taquile	unqu	heggarty2005
Tarma	xišya	adelaar1977
Troje	ungu	heggarty2005
Tsimu		cerron2016
Wari		parkerchavez1976
Yanac	qiš(i)ya., ġišya	heggarty2005
Anonimo	huata	valera1586
Apuri	wata	shimelman2017
Apurimac	wata	camacho2007
Arma	wata	galvez2003
Atalla	wata	heggarty2005
Ayacucho	wata	soto1976
Bobonaza	huata	orrwrisley1981
Cacra-Hongos	wata	shimelman2017
Chachapoyas	wata	taylor2006
Chacpar	wata	heggarty2005
Chetilla	wata	heggarty2005
Chipaya	wata	heggarty2005
Curva	wata	heggarty2005
Cuzco	wata	heggarty2005
CuzquenoAntiguo	huata	holguin1608
Huallaga	wata	heggarty2005
Huanca	wata	cerron2018
Huancane	mara	heggarty2005
Huangascar	wata	shimelman2017
HuarazHuailas	wata	parkerchavez1976
Imbabura	wata	gomez2009
Inkawasi	año	heggarty2005
Iruhito		cerron2016
Jaqaru	wata	heggarty2005
Kawki	watya	heggarty2005
Lamas	wata	taylor2006
Laraos	wata, watə	heggarty2005
Lincha-Tana	wata	shimelman2017
Maragua	wata	heggarty2005
Napo	huata	orrwrisley1981
Pacaraos	wata	adelaar1982
Pastaza	wata	landerman1973
Pocona	wata	heggarty2005
Puki	mara	heggarty2005
Puno	wata	heggarty2005
Putumayo	huata	tandioy1978
Raimondi	wata	parkerchavez1976
SanPedro	wata	shimelman2017
Santiagueno	wata	juanatey2021
SantoTomas	guata, mara	santotomas1951
Serena	wata	heggarty2005
Sullkatiti	mara	heggarty2005
Taquile	wata	heggarty2005
Tarma	wata	adelaar1977
Troje	wata	heggarty2005
Tsimu		cerron2016
Wari	wata	parkerchavez1976
Yanac	wata	heggarty2005
Anonimo	ʃaycuni, aycucuni	valera1586
Apuri	pishipa	shimelman2017
Apurimac	pisipa	camacho2007
Apurimac	machitaku	camacho2007
Arma	sayka	galvez2003
Atalla	pisi.pa	heggarty2005
Ayacucho	pisipa	soto1976
Bobonaza	sambayna	orrwrisley1981
Cacra-Hongos	pishipa	shimelman2017
Chachapoyas	shayku	taylor2006
Chacpar	piši'pa	heggarty2005
Chetilla	ša.yku	heggarty2005
Chipaya	ot.z	heggarty2005
Curva	sa.yk'u	heggarty2005
Cuzco	sa.yk'u	heggarty2005
CuzquenoAntiguo	saycuni	holguin1608
Huallaga	piši.pa	heggarty2005
Huanca	piʃipay	cerron2018
Huanca	piʃipakuy	cerron2018
Huanca	utikay	cerron2018
Huancane	qari.x(i)yata	heggarty2005
Huangascar	pishipa	shimelman2017
HuarazHuailas	pishipaay	parkerchavez1976
Imbabura	shaijushka	gomez2009
Inkawasi	ša.yku	heggarty2005
Iruhito		cerron2016
Jaqaru	ša.yku	heggarty2005
Kawki	ša.yku	heggarty2005
Lamas	shayku	taylor2006
Laraos	ša.yku	heggarty2005
Lincha-Tana	pishipa	shimelman2017
Maragua	sa.yk'u	heggarty2005
Napo	sambayna	orrwrisley1981
Pacaraos	pishi-kaa	adelaar1982
Pastaza	shaycuna	landerman1973
Pastaza	sambayana	landerman1973
Pocona	sa.yk'u	heggarty2005
Puki	qari	heggarty2005
Puno	sa.yk'u	heggarty2005
Putumayo	ami, sambaya, saycuri	tandioy1978
Raimondi	pishipaay	parkerchavez1976
SanPedro	pishipa	shimelman2017
Santiagueno	saykus	juanatey2021
SantoTomas	ʃaycuni.gui	santotomas1951
Serena	samba.ya	heggarty2005
Sullkatiti	qari	heggarty2005
Taquile	sa.yk'u	heggarty2005
Tarma	šaygu	adelaar1977
Troje	ša.yku	heggarty2005
Tsimu		cerron2016
Wari	pishipaay	parkerchavez1976
Yanac	še:ku	heggarty2005
Anonimo	ancha	valera1586
Apuri	achka	shimelman2017
Apurimac	ancha	camacho2007
Apurimac	aska	camacho2007
Apurimac	nisyu	camacho2007
Arma	achka	galvez2003
Atalla	ačka	heggarty2005
Ayacucho	achka	soto1976
Bobonaza	ashca	orrwrisley1981
Cacra-Hongos	achka	shimelman2017
Chachapoyas		taylor2006
Chacpar	atska	heggarty2005
Chetilla	ačka	heggarty2005
Chipaya	wakchi; loki; muspa	heggarty2005
Curva	ačkha	heggarty2005
Cuzco	askha	heggarty2005
CuzquenoAntiguo	achca, ancha	holguin1608
Huallaga	ačka	heggarty2005
Huanca	antʃa	cerron2018
Huanca	yap, tʃiyap	cerron2018
Huanca	hunta	cerron2018
Huanca	atʃka	cerron2018
Huancane	sinti.ni	heggarty2005
Huangascar	achka	shimelman2017
HuarazHuailas	feyupa	parkerchavez1976
Imbabura	achka	gomez2009
Inkawasi	ačka	heggarty2005
Iruhito		cerron2016
Jaqaru	aĉhi	heggarty2005
Kawki	aĉi	heggarty2005
Lamas	sukaman, achka	park1976
Laraos	ačka	heggarty2005
Lincha-Tana	achka	shimelman2017
Maragua	aškha, aškha.s	heggarty2005
Napo	ashca	orrwrisley1981
Pacaraos	isisii	adelaar1982
Pastaza	achca	landerman1973
Pastaza	yapa	landerman1973
Pocona	aškha	heggarty2005
Puki	walxa	heggarty2005
Puno	aškha	heggarty2005
Putumayo	achca	tandioy1978
Raimondi	feyupa	parkerchavez1976
SanPedro	achka	shimelman2017
Santiagueno	achka	juanatey2021
SantoTomas	achika	santotomas1951
Serena	aška	heggarty2005
Sullkatiti	thanqha	heggarty2005
Taquile	aškha	heggarty2005
Tarma	ačka	adelaar1977
Troje	ačka	heggarty2005
Tsimu		cerron2016
Wari	feyupa	parkerchavez1976
Yanac	atska	heggarty2005
Anonimo	hanta, huntaʃca	valera1586
Apuri	hunta	shimelman2017
Apuri	saksasa	shimelman2017
Apurimac	llinpa	camacho2007
Apurimac	huntay	camacho2007
Apurimac	paqar	camacho2007
Apurimac	qapa	camacho2007
Arma	hunta	galvez2003
Atalla	hunta	heggarty2005
Ayacucho	hunta	soto1976
Bobonaza	junda	orrwrisley1981
Cacra-Hongos	hunta	shimelman2017
Cacra-Hongos	saksasha	shimelman2017
Chachapoyas	junta	taylor2006
Chacpar	hunta	heggarty2005
Chetilla	unda	heggarty2005
Chipaya	tsina; chhipi	heggarty2005
Curva	hunt'a	heggarty2005
Cuzco	hunt'a	heggarty2005
CuzquenoAntiguo	huntaʃca	holguin1608
Huallaga	hunta	heggarty2005
Huanca	hunta	cerron2018
Huancane	phuqha	heggarty2005
Huangascar	hunta	shimelman2017
Huangascar	saksasa	shimelman2017
HuarazHuailas	winay	parkerchavez1976
Imbabura	junda	gomez2009
Inkawasi	unda	heggarty2005
Iruhito		cerron2016
Jaqaru	phuqa	heggarty2005
Kawki	phuqha	heggarty2005
Lamas	junta	taylor2006
Laraos	hunta	heggarty2005
Lincha-Tana	hunta	shimelman2017
Lincha-Tana	saksasha	shimelman2017
Maragua	hunt'a	heggarty2005
Napo	junda	orrwrisley1981
Pacaraos	hunta	adelaar1982
Pastaza	unda	landerman1973
Pocona	hunt'a	heggarty2005
Puki	phuqha	heggarty2005
Puno	hunt'a	heggarty2005
Putumayo	junda	tandioy1978
Raimondi	winay	parkerchavez1976
SanPedro	hunta	shimelman2017
SanPedro	saksasa	shimelman2017
Santiagueno	unta	juanatey2021
SantoTomas	apani, puxani	santotomas1951
Serena	undakta	heggarty2005
Sullkatiti	phuqha	heggarty2005
Taquile	hunt'a	heggarty2005
Tarma	xunta	adelaar1977
Troje	hunda	heggarty2005
Tsimu		cerron2016
