DOCULECT	FORM	SOURCE
Anonimo	huc	valera1586
Apuri	huk	shimelman2017
Apurimac	huk, huj, huq	camacho2007
Arma	huk	galvez2003
Atalla	huk	heggarty2005
Ayacucho	huk	soto1976
Bobonaza	shuj	orrwrisley1981
Cacra-Hongos	huk	shimelman2017
Chachapoyas	suj	taylor2006
Chacpar	huk	heggarty2005
Chetilla	suχ	heggarty2005
Chipaya	zinta	heggarty2005
Curva	ux	heggarty2005
Cuzco	huχ	heggarty2005
CuzquenoAntiguo	huc	holguin1608
Huallaga	huk	heggarty2005
Huanca	suk, huk	cerron2018
Huancane	maya	heggarty2005
Huangascar	huk	shimelman2017
HuarazHuailas	huk	parkerchavez1976
Imbabura	shuk	gomez2009
Inkawasi	uk	heggarty2005
Iruhito	tsi:	cerron2016
Jaqaru	maya	heggarty2005
Kawki	maya	heggarty2005
Lamas	suk	taylor2006
Laraos	huk	heggarty2005
Lincha-Tana	huk	shimelman2017
Maragua	ux	heggarty2005
Napo	shuj	orrwrisley1981
Pacaraos	huk	adelaar1982
Pastaza	shuc	landerman1973
Pocona	ux	heggarty2005
Puki	maya	heggarty2005
Puno	ux	heggarty2005
Putumayo	sug	tandioy1978
Raimondi	huk	parkerchavez1976
SanPedro	huk	shimelman2017
Santiagueno	suk	juanatey2021
SantoTomas	ʃuc	santotomas1951
Serena	šux	heggarty2005
Sullkatiti	maya	heggarty2005
Taquile	ux	heggarty2005
Tarma	xuk	adelaar1977
Troje	šux	heggarty2005
Tsimu	pí:si	cerron2016
Wari	huk	parkerchavez1976
Yanac	uk	heggarty2005
Anonimo	chunca	valera1586
Apuri	trunka	shimelman2017
Apurimac	chunka	camacho2007
Arma	chunka	galvez2003
Atalla	čunka	heggarty2005
Ayacucho	chunka	soto1976
Bobonaza	chunga	orrwrisley1981
Cacra-Hongos	trunka	shimelman2017
Chachapoyas	ĉunka	taylor2006
Chacpar	čunka	heggarty2005
Chetilla	ĉunga	heggarty2005
Chipaya	tunka	heggarty2005
Curva	čunka	heggarty2005
Cuzco	čunka	heggarty2005
CuzquenoAntiguo	chunca	holguin1608
Huallaga	čunka	heggarty2005
Huanca	trunka	cerron2018
Huancane	tunka	heggarty2005
Huangascar	trunka	shimelman2017
HuarazHuailas	chunka	parkerchavez1976
Imbabura	chunga	gomez2009
Inkawasi	diez	heggarty2005
Iruhito	ka:lo:	cerron2016
Jaqaru	ĉunka	heggarty2005
Kawki	ĉunka	heggarty2005
Lamas	chunka	taylor2006
Laraos	ĉunka	heggarty2005
Lincha-Tana	trunka	shimelman2017
Maragua	čunka	heggarty2005
Napo	chunga	orrwrisley1981
Pacaraos	trunka	adelaar1982
Pastaza	chingu	landerman1973
Pocona	čunka	heggarty2005
Puki	tunka	heggarty2005
Puno	čunka	heggarty2005
Putumayo	chunga	tandioy1978
Raimondi	chunka	parkerchavez1976
SanPedro	trunka	shimelman2017
Santiagueno	chunka	juanatey2021
SantoTomas	chunka	santotomas1951
Serena	čunga	heggarty2005
Sullkatiti	tunka	heggarty2005
Taquile	čunka	heggarty2005
Tarma	ĉun̊ka	adelaar1977
Troje	čunga	heggarty2005
Tsimu	khá:r̂o	cerron2016
Wari	chunka	parkerchavez1976
Yanac	ĉunka	heggarty2005
Anonimo	mana pocoʃca, chahua	valera1586
Apuri		shimelman2017
Apurimac	kuku	camacho2007
Arma		galvez2003
Atalla	χiwa	heggarty2005
Ayacucho	qumiř	parker1969
Bobonaza	birdi	orrwrisley1981
Cacra-Hongos		shimelman2017
Chachapoyas	chikyaj	taylor2006
Chacpar	verde	heggarty2005
Chetilla	čiγyax	heggarty2005
Chipaya	č'ojña	heggarty2005
Curva	q'umir	heggarty2005
Cuzco	q'umir	heggarty2005
CuzquenoAntiguo		holguin1608
Huallaga	verde	heggarty2005
Huanca	birdi	cerron2018
Huancane	č'uχña	heggarty2005
Huangascar		shimelman2017
HuarazHuailas	beri	parkerchavez1976
Imbabura	birdi	gomez2009
Inkawasi	čiχyaχ	heggarty2005
Iruhito		cerron2016
Jaqaru	verde	heggarty2005
Kawki	čikya	heggarty2005
Lamas	chikjak	taylor2006
Laraos	verde	heggarty2005
Lincha-Tana		shimelman2017
Maragua	q'umir	heggarty2005
Napo	birdi	orrwrisley1981
Pacaraos	berdi	adelaar1982
Pastaza	quillu	landerman1973
Pocona	q'umir	heggarty2005
Puki	č'uχña	heggarty2005
Puno	q'umir	heggarty2005
Putumayo		tandioy1978
Raimondi	berdi	parkerchavez1976
SanPedro		shimelman2017
Santiagueno	qomer	juanatey2021
SantoTomas	ococya	santotomas1951
Serena	verde	heggarty2005
Sullkatiti	č'uχña	heggarty2005
Taquile	q'umir	heggarty2005
Tarma		adelaar1977
Troje	verde	heggarty2005
Tsimu		cerron2016
Wari	cheqlla	parkerchavez1976
Yanac	tsiqyaq	heggarty2005
Anonimo	quello, carhua 	valera1586
Apuri	qarwa	shimelman2017
Apurimac	paru	camacho2007
