ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Anonimo-1_one-1-1,Anonimo-1_one-1,huc,663,false,expert,valera1586,h u k,false,expert
Apuri-1_one-1-1,Apuri-1_one-1,huk,663,false,expert,shimelman2017,h u k,false,expert
Apurimac-1_one-1-1,Apurimac-1_one-1,huk,663,false,expert,camacho2007,h u k,false,expert
Apurimac-1_one-2-1,Apurimac-1_one-2,huj,663,false,expert,camacho2007,h u χ,false,expert
Apurimac-1_one-3-1,Apurimac-1_one-3,huq,663,false,expert,camacho2007,h u q,false,expert
Arma-1_one-1-1,Arma-1_one-1,huk,663,false,expert,galvez2003,h u k,false,expert
Atalla-1_one-1-1,Atalla-1_one-1,huk,663,false,expert,heggarty2005,h u k,false,expert
Ayacucho-1_one-1-1,Ayacucho-1_one-1,huk,663,false,expert,soto1976,h u k,false,expert
Bobonaza-1_one-1-1,Bobonaza-1_one-1,shuj,663,false,expert,orrwrisley1981,ʃ u x,false,expert
Cacra-Hongos-1_one-1-1,Cacra-Hongos-1_one-1,huk,663,false,expert,shimelman2017,h u k,false,expert
Chachapoyas-1_one-1-1,Chachapoyas-1_one-1,suj,663,false,expert,taylor2006,s u x,false,expert
Chacpar-1_one-1-1,Chacpar-1_one-1,huk,663,false,expert,heggarty2005,h u k,false,expert
Chetilla-1_one-1-1,Chetilla-1_one-1,suχ,663,false,expert,heggarty2005,s u χ,false,expert
Chipaya-1_one-1-1,Chipaya-1_one-1,zinta,664,false,expert,heggarty2005,z i n t a,false,expert
Curva-1_one-1-1,Curva-1_one-1,ux,663,false,expert,heggarty2005,- u x,false,expert
Cuzco-1_one-1-1,Cuzco-1_one-1,huχ,663,false,expert,heggarty2005,h u χ,false,expert
CuzquenoAntiguo-1_one-1-1,CuzquenoAntiguo-1_one-1,huc,663,false,expert,holguin1608,h u k,false,expert
Huallaga-1_one-1-1,Huallaga-1_one-1,huk,663,false,expert,heggarty2005,h u k,false,expert
Huanca-1_one-1-1,Huanca-1_one-1,suk,663,false,expert,cerron1976,s u k,false,expert
Jauja-1_one-1-1,Jauja-1_one-1,huk,663,false,expert,cerron1976,h u k,false,expert
Huancane-1_one-1-1,Huancane-1_one-1,maya,528,false,expert,heggarty2005,m a j a,false,expert
Huangascar-1_one-1-1,Huangascar-1_one-1,huk,663,false,expert,shimelman2017,h u k,false,expert
HuarazHuailas-1_one-1-1,HuarazHuailas-1_one-1,huk,663,false,expert,parkerchavez1976,x u k,false,expert
Imbabura-1_one-1-1,Imbabura-1_one-1,shuk,663,false,expert,gomez2009,ʃ u k,false,expert
Inkawasi-1_one-1-1,Inkawasi-1_one-1,uk,663,false,expert,heggarty2005,- u k,false,expert
Iruhito-1_one-1-1,Iruhito-1_one-1,tsi:,1003,false,expert,cerron2016,t - s iː,false,expert
Jaqaru-1_one-1-1,Jaqaru-1_one-1,maya,528,false,expert,heggarty2005,m a j a,false,expert
