ID	Name	SubGroup	Glottocode	Latitude	Longitude	Family
Kawki	Kawki	Aymara	cauq1239	-12.72	-75.91	Aymaran
Jaqaru	Jaqaru	Aymara	jaqa1244	-12.74	-75.81	Aymaran
Huancane	Huancané	Aymara		-15.09	-69.57	Aymaran
Puki	Puki	Aymara		-13.83	-73.48	Aymaran
Sullkatiti	Sullkatiti	Aymara		-16.77	-68.71	Aymaran
Atalla	Huancavelica	Quechua	huan1249	-12.76	-74.87	Quechua
Azuay	Azuay	Quechua	azua1234	-2.48	-78.97	Quechua
Curva	Apolobamba	Quechua	apol1241	-14.4	-68.79	Quechua
Apuri	Apurí-Madean-Viñac	Quechua	apur1253	-12.89	-75.81	Quechua
Ayacucho	Ayacucho	Quechua	ayac1239	-13.85	-74.32	Quechua
Huangascar	Chocos-Huangáscar	Quechua	azan1238	-12.9	-75.83	Quechua
Cacra-Hongos	Cacra-Hongos	Quechua	cacr1238	-12.81	-75.78	Quechua
Chetilla	Cajamarca	Quechua	caja1238	-7.09	-78.32	Quechua
Chachapoyas	Chachapoyas	Quechua	chac1250	-6.27	-77.66	Quechua
Yanac	Corongo	Quechua	coro1247	-8.58	-77.99	Quechua
Cuzco	Cuzco	Quechua	cusc1236	-14.09	-71.77	Quechua
Apurimac	Eastern-Apurímac	Quechua	east2551	-13.89	-73.14	Quechua
HuarazHuailas	Huaraz-Huailas	Quechua	huai1241	-9.52	-77.52	Quechua
Huallaga	Huallaga-Huánuco	Quechua	hual1241	-9.57	-75.59	Quechua
Imbabura	Imbabura	Quechua	imba1240	-0.23	-78.26	Quechua
Putumayo	Colombian Inga	Quechua	inga1252	1.17	-76.96	Quechua
Jauja	Jauja-Huanca	Quechua	jauj1238	-11.67	-75.28	Quechua
Huanca	Huaylla-Huanca	Quechua	huay1241	-11.77	-75.49	Quechua
Inkawasi	Lambayeque	Quechua	lamb1276	-6.17	-79.47	Quechua
Maragua	Chuquisaca	Quechua	sout2991	-18.96	-65.78	Quechua
Napo	Napo	Quechua	napo1242	-0.04	-76.23	Quechua
Troje	Chimborazo	Quechua	nort3351	-1.37	-78.85	Quechua
Pacaraos	Pacaraos	Quechua	paca1245	-11.14	-76.73	Quechua
Puno	Puno	Quechua	puno1238	-14.61	-70.21	Quechua
Lamas	San Martín	Quechua	sanm1289	-6.42	-76.52	Quechua
SanPedro	Liscay-San Pedro	Quechua	sanp1258	-13.09	-75.74	Quechua
Santiagueno	Santiago del Estero	Quechua	sant1432	-27.79	-64.25	Quechua
Pastaza	Pastaza	Quechua	sout2990	-4.79	-76.53	Quechua
Pocona	Cochabamba	Quechua	coch1274	-17.67	-65.42	Quechua
Lincha-Tana	Lincha-Tana	Quechua	tana1291	-12.8	-75.66	Quechua
Serena	Tena	Quechua	tena1240	-0.76	-77.54	Quechua
Tarma	Yaru	Quechua	yaru1256	-11.42	-75.68	Quechua
Laraos	Laraos	Quechua	yauy1235	-13.11	-75.77	Quechua
Arma	Arma	Quechua		-15.42	-72.74	Quechua
Bobonaza	Bobonaza	Quechua		-1.5	-77.9	Quechua
Chacpar	Chavín	Quechua		-9.58	-77.21	Quechua
Raimondi	Antonio Raimondi	Quechua		-9.1	-77.01	Quechua
Taquile	Taquile	Quechua		-15.77	-69.68	Quechua
Wari	Huari	Quechua		-9.34	-77.17	Quechua
CuzquenoAntiguo	Cuzqueño Antiguo	Quechua		-14.09	-71.77	Quechua
Anonimo	Anónimo	Quechua				Quechua
SantoTomas	Santo Tomás	Quechua	clas1251			Quechua
Chipaya	Chipaya	Uru-Chipaya	chip1262	-18.74	-67.9	Uru-Chipaya
Iruhito	Iruhito	Uru-Chipaya	urui1234	-16.74	-68.8	Uru-Chipaya
Tsimu	Ch'imu	Uru-Chipaya	tsim1260	-15.88	-69.94	Uru-Chipaya
