ID	DOCULECT	CONCEPT	TOKENS	SUBGROUP	BORROWING	COGID
5971	Apuri	ash	u ʈ p a	Quechua		1
5972	Apurimac	ash	u s p a	Quechua		1
5973	Arma	ash	u tʃ p a	Quechua		1
5974	Atalla	ash	u tʃ p a	Quechua		1
5975	Ayacucho	ash	u tʃ p a	Quechua		1
5976	Bobonaza	ash	u ʃ p a	Quechua		1
5977	Cacra-Hongos	ash	u ʈ p a	Quechua		1
5978	Chachapoyas	ash	u ʈʂ p a	Quechua		1
5979	Chacpar	ash	u tʃ p a	Quechua		1
5980	Chetilla	ash	u ʂ p a	Quechua		1
5982	Curva	ash	u tʃ pʰ a	Quechua		1
5983	Cuzco	ash	u s pʰ a	Quechua		1
5985	Huallaga	ash	u tʃ p a	Quechua		1
5986	Huanca	ash	u ʈʂ p a	Quechua		1
5988	Huangascar	ash	u ʈ p a	Quechua		1
5989	HuarazHuailas	ash	u tʃ p a	Quechua		1
5990	Imbabura	ash	u tʃ u f a	Quechua		1
5991	Inkawasi	ash	u ʈʂ p a	Quechua		1
5995	Lamas	ash	u tʃ p a	Quechua		1
5996	Laraos	ash	u ʈʂ p a	Quechua		1
5997	Lincha-Tana	ash	u ʈ p a	Quechua		1
5998	Maragua	ash	u ʃ pʰ a	Quechua		1
5999	Napo	ash	u ʃ p a	Quechua		1
6000	Pacaraos	ash	u ʈʂ p a	Quechua		1
6001	Pastaza	ash	u tʃ p a	Quechua		1
6002	Pocona	ash	u ʃ pʰ a	Quechua		1
6004	Puno	ash	u s pʰ a	Quechua		1
6005	Putumayo	ash	u tʃ p a	Quechua		1
6006	Raimondi	ash	u tʃ p a	Quechua		1
6007	SanPedro	ash	u ʈ p a	Quechua		1
6008	Santiagueno	ash	u ʃ p a	Quechua		1
6010	Serena	ash	u ʃ p a	Quechua		1
6012	Taquile	ash	u ʃ pʰ a	Quechua		1
6013	Troje	ash	u ʃ p a	Quechua		1
6015	Wari	ash	u tʃ p a	Quechua		1
6016	Yanac	ash	u tʃ p a	Quechua		1
7248	Azuay	ash	u tʃ u p a	Quechua		1
7333	Jauja	ash	u ʈʂ p a	Quechua		1
7489	Tarma	ash	u tʃ p a	Quechua		1
3727	Apuri	back	w a ʃ a	Quechua		611
3728	Apurimac	back	w a s a	Quechua		611
3729	Atalla	back	w a s a	Quechua		611
3730	Ayacucho	back	w a s a	Quechua		611
3731	Bobonaza	back	w a ʃ a	Quechua		611
3732	Cacra-Hongos	back	w a ʃ a	Quechua		611
