ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	BORROWING	SOURCE	SUBGROUP
84		tʃ u n k a	6604	ten	Pocona	čunka	tʃ u n k a		heggarty2005	Quechua
85		t u n k a	71	ten	Puki	tunka	t u n k a	quechua	heggarty2005	Aymara
86		tʃ u n k a	6604	ten	Puno	čunka	tʃ u n k a		heggarty2005	Quechua
87		tʃ u n g a	6604	ten	Putumayo	chunga	tʃ u n g a		tandioy1978	Quechua
88		tʃ u ɲ k a	6604	ten	Raimondi	chunka	tʃ u ɲ k a		parkerchavez1976	Quechua
89		ʈ u n k a	6604	ten	SanPedro	trunka	ʈ u n k a		shimelman2017	Quechua
90		tʃ u ŋ k a	6604	ten	Santiagueno	chunka	tʃ u ŋ k a		juanatey2021	Quechua
91		tʃ u n k a	6604	ten	SantoTomas	chunka	tʃ u n k a		santotomas1951	Quechua
92		tʃ u n g a	6604	ten	Serena	čunga	tʃ u n g a		heggarty2005	Quechua
93		t u n k a	71	ten	Sullkatiti	tunka	t u n k a	quechua	heggarty2005	Aymara
94		tʃ u n k a	6604	ten	Taquile	čunka	tʃ u n k a		heggarty2005	Quechua
95		ʈʂ u ŋ k a	6604	ten	Tarma	ĉun̊ka	ʈʂ u ŋ k a		adelaar1977	Quechua
96		tʃ u n g a	6604	ten	Troje	čunga	tʃ u n g a		heggarty2005	Quechua
97		kʰ a: r o	6606	ten	Tsimu	khá:r̂o	kʰ a: r o		cerron2016	Uru-Chipaya
98		tʃ u ɲ k a	6604	ten	Wari	chunka	tʃ u ɲ k a		parkerchavez1976	Quechua
99		ʈʂ u n k a	6604	ten	Yanac	ĉunka	ʈʂ u n k a		heggarty2005	Quechua
102		q o m i r	2579	green	Apurimac	qomir	q o m i r		camacho2007	Quechua
103		χ i w a	211	green	Atalla	χiwa	χ i w a		heggarty2005	Quechua
104		χ u m i ɽ	2579	green	Ayacucho	qumiř	χ u m i ɽ		soto1976	Quechua
105		b i r d i	2580	green	Bobonaza	birdi	b i r d i	esp	orrwrisley1981	Quechua
106		tʃ i k j a x	2581	green	Chachapoyas	chikyaj	tʃ i k j a x	aymara	taylor2006	Quechua
107		b e r d e	2580	green	Chacpar	verde	b e r d e	esp	heggarty2005	Quechua
108		tʃ i ʁ j a x	2581	green	Chetilla	čiγyax	tʃ i ʁ j a x	aymara	heggarty2005	Quechua
109		tʃʼ o - j ɲ a -	376	green	Chipaya	č'ojña	tʃʼ o j ɲ a	aymara	heggarty2005	Uru-Chipaya
110		qʼ u m i r	2579	green	Curva	q'umir	qʼ u m i r		heggarty2005	Quechua
111		qʼ u m i r	2579	green	Cuzco	q'umir	qʼ u m i r		heggarty2005	Quechua
112		b e r d e	2580	green	Huallaga	verde	b e r d e	esp	heggarty2005	Quechua
113		b i ɾ d i	2580	green	Huanca	birdi	b i ɾ d i	esp	cerron2018	Quechua
114		tʃʼ u χ ɲ - a -	377	green	Huancane	č'uχña	tʃʼ u χ ɲ a		heggarty2005	Aymara
115		b e ɾ - i	2580	green	HuarazHuailas	beri	b e ɾ i	esp	parkerchavez1976	Quechua
116		b i ɾ d i	2580	green	Imbabura	birdi	b i ɾ d i	esp	gomez2009	Quechua
117		tʃ i χ j a χ	2581	green	Inkawasi	čiχyaχ	tʃ i χ j a χ	aymara	heggarty2005	Quechua
118		b e r d e	2580	green	Jaqaru	verde	b e r d e	esp	heggarty2005	Aymara
119		tʃ i k j a -	2581	green	Kawki	čikya	tʃ i k j a		heggarty2005	Aymara
120		tʃ i k j a k	2581	green	Lamas	chikjak	tʃ i k j a k	aymara	taylor2006	Quechua
121		b e r d e	2580	green	Laraos	verde	b e r d e	esp	heggarty2005	Quechua
122		qʼ u m i r	2579	green	Maragua	q'umir	qʼ u m i r		heggarty2005	Quechua
123		b i r d i	2580	green	Napo	birdi	b i r d i	esp	orrwrisley1981	Quechua
124		b e r d i	2580	green	Pacaraos	berdi	b e r d i	esp	adelaar1982	Quechua
125		k i ʎ u	82	green	Pastaza	quillu	k i ʎ u		landerman1973	Quechua
126		qʼ u m i r	2579	green	Pocona	q'umir	qʼ u m i r		heggarty2005	Quechua
127		tʃʼ u χ ɲ - a -	377	green	Puki	č'uχña	tʃʼ u χ ɲ a		heggarty2005	Aymara
128		qʼ u m i r	2579	green	Puno	q'umir	qʼ u m i r		heggarty2005	Quechua
129		b e ɾ d i	2580	green	Raimondi	berdi	b e ɾ d i	esp	parkerchavez1976	Quechua
130		q o m e ɾ	2579	green	Santiagueno	qomer	q o m e ɾ		juanatey2021	Quechua
131		- o k o - k j a	2577	green	SantoTomas	ococya	o k o k j a		santotomas1951	Quechua
132		b e r d e	2580	green	Serena	verde	b e r d e	esp	heggarty2005	Quechua
133		tʃʼ u χ ɲ - a -	377	green	Sullkatiti	č'uχña	tʃʼ u χ ɲ a		heggarty2005	Aymara
134		qʼ u m i r	2579	green	Taquile	q'umir	qʼ u m i r		heggarty2005	Quechua
135		b e r d e	2580	green	Troje	verde	b e r d e	esp	heggarty2005	Quechua
136		tʃ e q ʎ a -	2581	green	Wari	cheqlla	tʃ e q ʎ a	aymara	parkerchavez1976	Quechua
137		ts i q j a q	2581	green	Yanac	tsiqyaq	ts i q j a q	aymara	heggarty2005	Quechua
138		k e ʎ ɔ	82	yellow	Anonimo	quello	k e ʎ ɔ		valera1586	Quechua
139		k a r w a -	7817	yellow	Anonimo	carhua	k a r w a		valera1586	Quechua
140		q a ɾ w a -	7817	yellow	Apuri	qarwa	q a ɾ w a		shimelman2017	Quechua
141		q a r w a -	7817	yellow	Apurimac	qarwa	q a r w a		camacho2007	Quechua
142		χ i ʎ u	82	yellow	Arma	qillu	χ i ʎ u		galvez2003	Quechua
143		χ i ʎ u	82	yellow	Atalla	χiλu	χ i ʎ u		heggarty2005	Quechua
144		χ e ʎ u	82	yellow	Ayacucho	qellu	χ e ʎ u		soto1976	Quechua
145		k i ʎ u	82	yellow	Bobonaza	quillu	k i ʎ u		orrwrisley1981	Quechua
146		q a l w a -	7817	yellow	Cacra-Hongos	qarwa	q a l w a		shimelman2017	Quechua
147		k i dʑ u	82	yellow	Chachapoyas	killu	k i dʑ u		taylor2006	Quechua
148		ɢ a ʎ w a ʃ	7817	yellow	Chacpar	ġaλwa.š	ɢ a ʎ w a ʃ		heggarty2005	Quechua
149		q a r w a -	7817	yellow	Chetilla	qarwa	q a r w a		heggarty2005	Quechua
150		qʼ i ʎ - u	83	yellow	Chipaya	q'iλu	qʼ i ʎ u		heggarty2005	Uru-Chipaya
151		qʼ i ʎ u	82	yellow	Curva	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
152		qʼ i ʎ u	82	yellow	Cuzco	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
153		χ i ʎ u	82	yellow	CuzquenoAntiguo	qqello	χ i ʎ u		holguin1608	Quechua
154		χ a r w a -	7817	yellow	CuzquenoAntiguo	ccarhua	χ a r w a		holguin1608	Quechua
155		q a r w a ʃ	7817	yellow	Huallaga	qarwa.š	q a r w a ʃ		heggarty2005	Quechua
156		t u n ʔ u ʂ	158	yellow	Jauja	tunqush	t u n ʔ u ʂ		cerron1976	Quechua
158		t u n ʔ u ʂ	158	yellow	Huanca	tunqush	t u n ʔ u ʂ		cerron1976	Quechua
159		qʼ i ʎ - u	110	yellow	Huancane	q'iλu	qʼ i ʎ u	quechua	heggarty2005	Aymara
160		q a ɾ w a -	7817	yellow	Huangascar	qarwa	q a ɾ w a		shimelman2017	Quechua
161		q a ɾ w a ʃ	7817	yellow	HuarazHuailas	qarwash	q a ɾ w a ʃ		parkerchavez1976	Quechua
162		k i ʎ u	82	yellow	Imbabura	killu	k i ʎ u		gomez2009	Quechua
163		χ a r w a -	7817	yellow	Inkawasi	χarwa	χ a r w a		heggarty2005	Quechua
164		k’ e l j u	83	yellow	Iruhito	k’élyu	k’ e l j u	quechua	cerron2016	Uru-Chipaya
165		t j u j u	7820	yellow	Jaqaru	tyuyu	t j u j u		heggarty2005	Aymara
166		q a r w a -	108	yellow	Kawki	qarwa	q a r w a		heggarty2005	Aymara
167		k i dʑ u	82	yellow	Lamas	killu	k i dʑ u		taylor2006	Quechua
168		q a r w a ʃ	7817	yellow	Laraos	qarwa.š	q a r w a ʃ		heggarty2005	Quechua
169		q a ɾ w a -	7817	yellow	Lincha-Tana	qarwa	q a ɾ w a		shimelman2017	Quechua
170		qʼ i ʎ u	82	yellow	Maragua	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
171		k i ʎ u	82	yellow	Napo	quillu	k i ʎ u		orrwrisley1981	Quechua
172		ʁ a ɾ w a -	7817	yellow	Pacaraos	qarwa	ʁ a ɾ w a		adelaar1982	Quechua
173		k i ʎ u	82	yellow	Pastaza	quillu	k i ʎ u		landerman1973	Quechua
174		qʼ i ʎ u	82	yellow	Pocona	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
175		qʼ i ʎ - u	110	yellow	Puki	q'iλu	qʼ i ʎ u	quechua	heggarty2005	Aymara
176		qʼ i ʎ u	82	yellow	Puno	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
177		x i ʎ u	82	yellow	Putumayo	quillu	x i ʎ u		tandioy1978	Quechua
178		q a ɾ w a ʃ	7817	yellow	Raimondi	qarwash	q a ɾ w a ʃ		parkerchavez1976	Quechua
179		q a ɾ w a -	7817	yellow	SanPedro	qarwa	q a ɾ w a		shimelman2017	Quechua
180		q ɪ ʒ u	82	yellow	Santiagueno	qellu	q ɪ ʒ u		juanatey2021	Quechua
181		q i ʎ o	82	yellow	SantoTomas	quillo	q i ʎ o		santotomas1951	Quechua
182		q e ʎ o	82	yellow	SantoTomas	quello	q e ʎ o		santotomas1951	Quechua
183		k i ʎ u	82	yellow	Serena	kiλu	k i ʎ u		heggarty2005	Quechua
184		qʼ i ʎ - u	110	yellow	Sullkatiti	q'iλu	qʼ i ʎ u	quechua	heggarty2005	Aymara
185		qʼ i ʎ u	82	yellow	Taquile	q'iλu	qʼ i ʎ u		heggarty2005	Quechua
186		q a ɾ w a ʃ	7817	yellow	Tarma	xarwash	q a ɾ w a ʃ		adelaar1977	Quechua
187		k i ʒ u	82	yellow	Troje	kižu	k i ʒ u		heggarty2005	Quechua
188		p a: k u:	7818	yellow	Tsimu	pá:ku:	p a: k u:		cerron2016	Uru-Chipaya
189		q a ɾ w a ʃ	7817	yellow	Wari	qarwash	q a ɾ w a ʃ		parkerchavez1976	Quechua
190		q a r w a -	7817	yellow	Yanac	qarwa	q a r w a		heggarty2005	Quechua
191		h a t u n	207	big	Anonimo	hatun	h a t u n		valera1586	Quechua
192		h a t u n	207	big	Apuri	hatun	h a t u n		shimelman2017	Quechua
193		h a t u n	207	big	Apurimac	hatun	h a t u n		camacho2007	Quechua
194		h a t u ŋ	207	big	Arma	hatun	h a t u ŋ		galvez2003	Quechua
195		h a t u n	207	big	Atalla	hatun	h a t u n		heggarty2005	Quechua
196		h a t u ŋ	207	big	Ayacucho	hatun	h a t u ŋ		soto1976	Quechua
197		h a t u n	207	big	Bobonaza	jatun	h a t u n		orrwrisley1981	Quechua
198		h a t u n	207	big	Cacra-Hongos	hatun	h a t u n		shimelman2017	Quechua
199		- a t u n	207	big	Chachapoyas	atun	a t u n		taylor2006	Quechua
200		h a t u n	207	big	Chacpar	hatun	h a t u n		heggarty2005	Quechua
201		- a t u n	207	big	Chetilla	atun	a t u n		heggarty2005	Quechua
202		m i k t a - - - -	84	big	Chipaya	mikta	m i k t a		heggarty2005	Uru-Chipaya
203		- a tʰ u n	207	big	Curva	athun	a tʰ u n		heggarty2005	Quechua
204		h a t u n	207	big	Cuzco	hatun	h a t u n		heggarty2005	Quechua
205		h a t u n	207	big	CuzquenoAntiguo	hatun	h a t u n		holguin1608	Quechua
206		h a t u n	207	big	Huallaga	hatun	h a t u n		heggarty2005	Quechua
207		h a t u n	207	big	Huanca	hatun	h a t u n		cerron2018	Quechua
209		h a - tʃʼ - a	85	big	Huancane	hač'a	h a tʃʼ a		heggarty2005	Aymara
210		h a t u n	207	big	Huangascar	hatun	h a t u n		shimelman2017	Quechua
211		h a t u n	207	big	HuarazHuailas	hatun	h a t u n		parkerchavez1976	Quechua
212		x a t u n	207	big	Imbabura	jatun	x a t u n		gomez2009	Quechua
213		- a t u n	207	big	Inkawasi	atun	a t u n		heggarty2005	Quechua
214		ts a k u a	208	big	Iruhito	tsákua	ts a k u a		cerron2016	Uru-Chipaya
215		- a - x tsʼ a	85	big	Jaqaru	axts'a	a x tsʼ a		heggarty2005	Aymara
216		- a s ʈʂ’ - a	85	big	Kawki	asĉ'a	a s ʈʂ’ a		heggarty2005	Aymara
217		- a t u n	207	big	Lamas	atun	a t u n		taylor2006	Quechua
218		h a t u n	207	big	Laraos	hatun	h a t u n		heggarty2005	Quechua
219		h a t u n	207	big	Lincha-Tana	hatun	h a t u n		shimelman2017	Quechua
220		h a t u n	207	big	Maragua	hatun	h a t u n		heggarty2005	Quechua
221		h a t u n	207	big	Napo	jatun	h a t u n		orrwrisley1981	Quechua
222		x a t u ŋ	207	big	Pacaraos	hatun	x a t u ŋ		adelaar1982	Quechua
223		- a t u n	207	big	Pastaza	atun	a t u n		landerman1973	Quechua
224		h a t u n	207	big	Pocona	hatun	h a t u n		heggarty2005	Quechua
225		h a - tʃʼ - a	85	big	Puki	hač'a	h a tʃʼ a		heggarty2005	Aymara
226		h a t u n	207	big	Puno	hatun	h a t u n		heggarty2005	Quechua
227		- a t u n	207	big	Putumayo	atun	a t u n		tandioy1978	Quechua
228		h a t u n	207	big	SanPedro	hatun	h a t u n		shimelman2017	Quechua
229		- a t u n	207	big	Santiagueno	atun	a t u n		juanatey2021	Quechua
230		- a t u n	207	big	SantoTomas	atun	a t u n		santotomas1996	Quechua
231		- a t u n	207	big	Serena	atun	a t u n		heggarty2005	Quechua
232		h a - tʃʼ - a	85	big	Sullkatiti	hač'a	h a tʃʼ a		heggarty2005	Aymara
233		- a tʰ u n	207	big	Taquile	athun	a tʰ u n		heggarty2005	Quechua
234		χ a t u ŋ	207	big	Tarma	xatun̊	χ a t u ŋ		adelaar1977	Quechua
235		h a t u n	207	big	Troje	hatun	h a t u n		heggarty2005	Quechua
236		- - - t a n s - a	86	big	Tsimu	tánsa	t a n s a		cerron2016	Uru-Chipaya
237		h a t u n	207	big	Wari	hatun	h a t u n		parkerchavez1976	Quechua
238		- a t u n	207	big	Yanac	atun	a t u n		heggarty2005	Quechua
239		h a n a n	386	high up	Anonimo	hanan	h a n a n		valera1586	Quechua
240		h a n a k	3037	high up	Anonimo	hanac	h a n a k		valera1586	Quechua
241		h a n ai -	3037	high up	Apuri	hanay	h a n ai		shimelman2017	Quechua
242		w i ʈ ai -	3040	high up	Apuri	witray	w i ʈ ai		shimelman2017	Quechua
243		h a n a n	386	high up	Apurimac	hanan	h a n a n		camacho2007	Quechua
244		h a n ai -	3037	high up	Arma	hanay	h a n ai		galvez2003	Quechua
245		h a n a χ	3037	high up	Atalla	hana.χ	h a n a χ		heggarty2005	Quechua
246		h a n a χ	3037	high up	Ayacucho	hanaq	h a n a χ		soto1976	Quechua
247		h a w a	17	high up	Bobonaza	jahua	h a w a		orrwrisley1981	Quechua
248		h a n ai -	3037	high up	Cacra-Hongos	hanay	h a n ai		shimelman2017	Quechua
249		w i ʈ ai -	3040	high up	Cacra-Hongos	witray	w i ʈ ai		shimelman2017	Quechua
250		- a n a x	3037	high up	Chachapoyas	anaj	a n a x		taylor2006	Quechua
251		h a n a -	3037	high up	Chacpar	hana	h a n a		heggarty2005	Quechua
252		- a n a χ	3037	high up	Chetilla	ana.χ	a n a χ		heggarty2005	Quechua
253		ts e w k u	3039	high up	Chipaya	tsewku	ts e w k u		heggarty2005	Uru-Chipaya
254		h a n a χ	3037	high up	Curva	hana.χ	h a n a χ		heggarty2005	Quechua
255		w i tʃ ai -	3040	high up	Cuzco	wičay	w i tʃ ai		heggarty2005	Quechua
256		h a n a n	386	high up	CuzquenoAntiguo	hanan	h a n a n		holguin1608	Quechua
257		h a n a k	3037	high up	CuzquenoAntiguo	hanak	h a n a k		holguin1608	Quechua
258		h a n a -	3037	high up	Huallaga	hana	h a n a		heggarty2005	Quechua
259		χ a n a -	3037	high up	Huanca	hana	χ a n a		cerron1976	Quechua
260		a l a + j - a	3042 0	high up	Huancane	ala.ya	a l a + j a		heggarty2005	Aymara
261		h a n ai -	3037	high up	Huangascar	hanay	h a n ai		shimelman2017	Quechua
262		w i ʈ ai -	3040	high up	Huangascar	witray	w i ʈ ai		shimelman2017	Quechua
263		x a ɲ a -	3037	high up	HuarazHuailas	hana	x a ɲ a		parkerchavez1976	Quechua
264		x a t u n	207	high up	Imbabura	jatun	x a t u n		gomez2009	Quechua
265		- a n a χ	3037	high up	Inkawasi	ana.χ	a n a χ		heggarty2005	Quechua
266		a r i + j - a	3042 0	high up	Jaqaru	ari.ya	a r i + j a		heggarty2005	Aymara
267		a r i + j - a	3042 0	high up	Kawki	ari.ya	a r i + j a		heggarty2005	Aymara
268		- a n a k	3037	high up	Lamas	anak	a n a k		taylor2006	Quechua
269		h a n ai -	3037	high up	Laraos	hana.y	h a n ai		heggarty2005	Quechua
270		h a n ai -	3037	high up	Lincha-Tana	hanay	h a n ai		shimelman2017	Quechua
271		w i ʈ ai -	3040	high up	Lincha-Tana	witray	w i ʈ ai		shimelman2017	Quechua
272		p a t a	88	high up	Maragua	pata	p a t a		heggarty2005	Quechua
273		h a w a	17	high up	Napo	jahua	h a w a		orrwrisley1981	Quechua
274		x a n a -	3037	high up	Pacaraos	hana	x a n a		adelaar1982	Quechua
275		- a w a	17	high up	Pastaza	awa	a w a		landerman1973	Quechua
276		p a t a	88	high up	Pocona	pata	p a t a		heggarty2005	Quechua
277		a r a + - χ a	3042 0	high up	Puki	ara.χa	a r a + χ a		heggarty2005	Aymara
278		w i tʃ ai -	3040	high up	Puno	wičay	w i tʃ ai		heggarty2005	Quechua
279		- a w a + p i	17 0	high up	Putumayo	ahuapi	a w a + p i		tandioy1978	Quechua
280		w i tʃ ai -	3040	high up	Putumayo	huíchay	w i tʃ ai		tandioy1978	Quechua
281		x a ɲ a -	3037	high up	Raimondi	hana	x a ɲ a		parkerchavez1976	Quechua
282		h a n ai -	3037	high up	SanPedro	hanay	h a n ai		shimelman2017	Quechua
283		w i ʈ ai -	3040	high up	SanPedro	witray	w i ʈ ai		shimelman2017	Quechua
284		- a n a χ	3037	high up	Santiagueno	anaq	a n a χ		juanatey2021	Quechua
285		h a n a ( n ) k	387	high up	SantoTomas	hananc	h a n a n k		santotomas1951	Quechua
286		- a n a k	3037	high up	Serena	ana.k	a n a k		heggarty2005	Quechua
287		a l a + j - a	3042 0	high up	Sullkatiti	ala.ya	a l a + j a		heggarty2005	Aymara
288		a l a + j a + χ a	3042 0 0	high up	Sullkatiti	.χa	a l a + j a + χ a		heggarty2005	Aymara
289		h a n a χ	3037	high up	Taquile	hana.χ	h a n a χ		heggarty2005	Quechua
290		χ a n a -	3037	high up	Tarma	xana	χ a n a		adelaar1977	Quechua
291		h a n a x	3037	high up	Troje	hana.x	h a n a x		heggarty2005	Quechua
292		x a ɲ a -	3037	high up	Wari	hana	x a ɲ a		parkerchavez1976	Quechua
293		( - ) u m a	2769	high up	Yanac	uma	u m a		heggarty2005	Quechua
294		h u tʃ ui -	5915	small	Anonimo	huchuy	h u tʃ ui		valera1586	Quechua
296		t a k s a	89	small	Apuri	taksa	t a k s a		shimelman2017	Quechua
297		- u tʃ u k	5915	small	Apuri	uchuk	u tʃ u k		shimelman2017	Quechua
299		tʃ i - k i	90	small	Apurimac	chiki	tʃ i k i		camacho2007	Quechua
300		tʃ i n k i	90	small	Apurimac	chinki	tʃ i n k i		camacho2007	Quechua
301		tʃ i n l i	90	small	Apurimac	chinli	tʃ i n l i		camacho2007	Quechua
302		h u tʃ ui -	5915	small	Apurimac	huchuy	h u tʃ ui		camacho2007	Quechua
304		t a k s a	89	small	Apurimac	taksa	t a k s a		camacho2007	Quechua
305		t a k s a	89	small	Arma	taksa	t a k s a		galvez2003	Quechua
306		- u tʃ ui -	5915	small	Arma	uchuy	u tʃ ui		galvez2003	Quechua
307		t a k s a	89	small	Atalla	taksa	t a k s a		heggarty2005	Quechua
308		t a k s a	89	small	Ayacucho	taksa	t a k s a		soto1976	Quechua
309		- u tʃ ui -	5915	small	Ayacucho	uchuy	u tʃ ui		soto1976	Quechua
310		- i tʃ i - + ʎ a	5915 0	small	Bobonaza	ichilla	i tʃ i + ʎ a		orrwrisley1981	Quechua
311		t a k s a	89	small	Cacra-Hongos	taksa	t a k s a		shimelman2017	Quechua
