ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	BORROWING	SOURCE	SUBGROUP
1		h u k	4783	one	Anonimo	huc	h u k		valera1586	Quechua
2		h u k	4783	one	Apuri	huk	h u k		shimelman2017	Quechua
3		h u k	4783	one	Apurimac	huk	h u k		camacho2007	Quechua
4		h u χ	4783	one	Apurimac	huj	h u χ		camacho2007	Quechua
5		h u q	4783	one	Apurimac	huq	h u q		camacho2007	Quechua
6		h u k	4783	one	Arma	huk	h u k		galvez2003	Quechua
7		h u k	4783	one	Atalla	huk	h u k		heggarty2005	Quechua
8		h u k	4783	one	Ayacucho	huk	h u k		soto1976	Quechua
9		ʃ u x	4783	one	Bobonaza	shuj	ʃ u x		orrwrisley1981	Quechua
10		h u k	4783	one	Cacra-Hongos	huk	h u k		shimelman2017	Quechua
11		s u x	4783	one	Chachapoyas	suj	s u x		taylor2006	Quechua
12		h u k	4783	one	Chacpar	huk	h u k		heggarty2005	Quechua
13		s u χ	4783	one	Chetilla	suχ	s u χ		heggarty2005	Quechua
14		z i n t a	4784	one	Chipaya	zinta	z i n t a		heggarty2005	Uru-Chipaya
15		- u x	4783	one	Curva	ux	u x		heggarty2005	Quechua
16		h u χ	4783	one	Cuzco	huχ	h u χ		heggarty2005	Quechua
17		h u k	4783	one	CuzquenoAntiguo	huc	h u k		holguin1608	Quechua
18		h u k	4783	one	Huallaga	huk	h u k		heggarty2005	Quechua
19		s u k	4783	one	Huanca	suk	s u k		cerron1976	Quechua
20		h u k	4783	one	Jauja	huk	h u k		cerron1976	Quechua
21		m a j a	40	one	Huancane	maya	m a j a		heggarty2005	Aymara
22		h u k	4783	one	Huangascar	huk	h u k		shimelman2017	Quechua
23		x u k	4783	one	HuarazHuailas	huk	x u k		parkerchavez1976	Quechua
24		ʃ u k	4783	one	Imbabura	shuk	ʃ u k		gomez2009	Quechua
25		- u k	4783	one	Inkawasi	uk	u k		heggarty2005	Quechua
26		t - s i:	79	one	Iruhito	tsi:	t s i:		cerron2016	Uru-Chipaya
27		m a j a	40	one	Jaqaru	maya	m a j a		heggarty2005	Aymara
28		m a j a	40	one	Kawki	maya	m a j a		heggarty2005	Aymara
29		s u k	4783	one	Lamas	suk	s u k		taylor2006	Quechua
30		h u k	4783	one	Laraos	huk	h u k		heggarty2005	Quechua
31		h u k	4783	one	Lincha-Tana	huk	h u k		shimelman2017	Quechua
32		- u x	4783	one	Maragua	ux	u x		heggarty2005	Quechua
33		ʃ u -	4783	one	Napo	shuj	ʃ u		orrwrisley1981	Quechua
34		x u k	4783	one	Pacaraos	huk	x u k		adelaar1982	Quechua
35		ʃ u k	4783	one	Pastaza	shuc	ʃ u k		landerman1973	Quechua
36		- u x	4783	one	Pocona	ux	u x		heggarty2005	Quechua
37		m a j a	40	one	Puki	maya	m a j a		heggarty2005	Aymara
38		- u x	4783	one	Puno	ux	u x		heggarty2005	Quechua
39		s u g	4783	one	Putumayo	sug	s u g		tandioy1978	Quechua
40		x u k	4783	one	Raimondi	huk	x u k		parkerchavez1976	Quechua
41		h u k	4783	one	SanPedro	huk	h u k		shimelman2017	Quechua
42		s u x	4783	one	Santiagueno	suk	s u x		juanatey2021	Quechua
43		s u k	4783	one	SantoTomas	ʃuc	s u k		santotomas1951	Quechua
44		ʃ u x	4783	one	Serena	šux	ʃ u x		heggarty2005	Quechua
45		m a j a	40	one	Sullkatiti	maya	m a j a		heggarty2005	Aymara
46		- u x	4783	one	Taquile	ux	u x		heggarty2005	Quechua
47		χ o k	4783	one	Tarma	xuk	χ o k		adelaar1977	Quechua
48		ʃ u x	4783	one	Troje	šux	ʃ u x		heggarty2005	Quechua
49		p i: s i	81	one	Tsimu	pí:si	p i: s i		cerron2016	Uru-Chipaya
50		x u k	4783	one	Wari	huk	x u k		parkerchavez1976	Quechua
51		- u k	4783	one	Yanac	uk	u k		heggarty2005	Quechua
52		tʃ u n k a	6604	ten	Anonimo	chunca	tʃ u n k a		valera1586	Quechua
53		ʈ u n k a	6604	ten	Apuri	trunka	ʈ u n k a		shimelman2017	Quechua
54		tʃ u n k a	6604	ten	Apurimac	chunka	tʃ u n k a		camacho2007	Quechua
55		tʃ u n k a	6604	ten	Arma	chunka	tʃ u n k a		galvez2003	Quechua
56		tʃ u n k a	6604	ten	Atalla	čunka	tʃ u n k a		heggarty2005	Quechua
57		tʃ u n k a	6604	ten	Ayacucho	chunka	tʃ u n k a		soto1976	Quechua
58		tʃ u n g a	6604	ten	Bobonaza	chunga	tʃ u n g a		orrwrisley1981	Quechua
59		ʈ u n k a	6604	ten	Cacra-Hongos	trunka	ʈ u n k a		shimelman2017	Quechua
60		ʈʂ u n g a	6604	ten	Chachapoyas	ĉunka	ʈʂ u n g a		taylor2006	Quechua
61		tʃ u n k a	6604	ten	Chacpar	čunka	tʃ u n k a		heggarty2005	Quechua
62		ʈʂ u n g a	6604	ten	Chetilla	ĉunga	ʈʂ u n g a		heggarty2005	Quechua
63		t u n k a	6	ten	Chipaya	tunka	t u n k a	quechua	heggarty2005	Uru-Chipaya
64		tʃ u n k a	6604	ten	Curva	čunka	tʃ u n k a		heggarty2005	Quechua
65		tʃ u n k a	6604	ten	Cuzco	čunka	tʃ u n k a		heggarty2005	Quechua
66		tʃ u n k a	6604	ten	CuzquenoAntiguo	chunca	tʃ u n k a		holguin1608	Quechua
67		tʃ u n k a	6604	ten	Huallaga	čunka	tʃ u n k a		heggarty2005	Quechua
68		ʈʂ u n k a	6604	ten	Huanca	trunka	ʈʂ u n k a		cerron2018	Quechua
69		t u n k a	6	ten	Huancane	tunka	t u n k a	quechua	heggarty2005	Aymara
70		ʈ u n k a	6604	ten	Huangascar	trunka	ʈ u n k a		shimelman2017	Quechua
71		tʃ u ɲ k a	6604	ten	HuarazHuailas	chunka	tʃ u ɲ k a		parkerchavez1976	Quechua
72		tʃ u n g a	6604	ten	Imbabura	chunga	tʃ u n g a		gomez2009	Quechua
73		d i e s	6605	ten	Inkawasi	diez	d i e s	esp	heggarty2005	Quechua
74		k a: l o:	6606	ten	Iruhito	ka:lo:	k a: l o:		cerron2016	Uru-Chipaya
75		ʈʂ u n k a	71	ten	Jaqaru	ĉunka	ʈʂ u n k a	quechua	heggarty2005	Aymara
76		ʈʂ u n k a	71	ten	Kawki	ĉunka	ʈʂ u n k a	quechua	heggarty2005	Aymara
77		tʃ u n g a	6604	ten	Lamas	chunka	tʃ u n g a		taylor2006	Quechua
78		ʈʂ u n k a	6604	ten	Laraos	ĉunka	ʈʂ u n k a		heggarty2005	Quechua
79		ʈ u n k a	6604	ten	Lincha-Tana	trunka	ʈ u n k a		shimelman2017	Quechua
80		tʃ u n k a	6604	ten	Maragua	čunka	tʃ u n k a		heggarty2005	Quechua
81		tʃ u n g a	6604	ten	Napo	chunga	tʃ u n g a		orrwrisley1981	Quechua
82		ʈʂ u ŋ k a	6604	ten	Pacaraos	trunka	ʈʂ u ŋ k a		adelaar1982	Quechua
83		tʃ i n g u	6604	ten	Pastaza	chingu	tʃ i n g u		landerman1973	Quechua
