# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	BORROWING	SOURCE	SUBGROUP
#
6163		u ʈ - p a	1	ash	Apuri	utrpa	u ʈ p a		shimelman2017	Quechua
6164		u s - p a	1	ash	Apurimac	uspa	u s p a		camacho2007	Quechua
6165		u tʃ - p a	1	ash	Arma	uchpa	u tʃ p a		galvez2003	Quechua
6166		u tʃ - p a	1	ash	Atalla	učpa	u tʃ p a		heggarty2005	Quechua
6167		u tʃ - p a	1	ash	Ayacucho	uchpa	u tʃ p a		soto1976	Quechua
6168		u ʃ - p a	1	ash	Bobonaza	ushpa	u ʃ p a		orrwrisley1981	Quechua
6169		u ʈ - p a	1	ash	Cacra-Hongos	utrpa	u ʈ p a		shimelman2017	Quechua
6170		u ʈʂ - p a	1	ash	Chachapoyas	uĉpa	u ʈʂ p a		taylor2006	Quechua
6171		u tʃ - p a	1	ash	Chacpar	učpa	u tʃ p a		heggarty2005	Quechua
6172		u ʂ - p a	1	ash	Chetilla	uŝpa	u ʂ p a		heggarty2005	Quechua
6174		u tʃ - pʰ a	1	ash	Curva	učpha	u tʃ pʰ a		heggarty2005	Quechua
6175		u s - pʰ a	1	ash	Cuzco	uspha	u s pʰ a		heggarty2005	Quechua
6177		u tʃ - p a	1	ash	Huallaga	učpa	u tʃ p a		heggarty2005	Quechua
6178		u ʈʂ - p a	1	ash	Huanca	utrpa	u ʈʂ p a		cerron2018	Quechua
6180		u ʈ - p a	1	ash	Huangascar	utrpa	u ʈ p a		shimelman2017	Quechua
6181		u tʃ - p a	1	ash	HuarazHuailas	uchpa	u tʃ p a		parkerchavez1976	Quechua
6182		u tʃ u f a	1	ash	Imbabura	uchufa	u tʃ u f a		gomez2009	Quechua
6183		u ʈʂ - p a	1	ash	Inkawasi	uĉpa	u ʈʂ p a		heggarty2005	Quechua
6187		u tʃ - p a	1	ash	Lamas	uchpa	u tʃ p a		taylor2006	Quechua
