ID	DOCULECT	CONCEPT	TOKENS	SUBGROUP	BORROWING	COGID
5971	Apuri	ash	u ʈ p a	Quechua		2
5972	Apurimac	ash	u s p a	Quechua		2
5973	Arma	ash	u tʃ p a	Quechua		2
5974	Atalla	ash	u tʃ p a	Quechua		2
5975	Ayacucho	ash	u tʃ p a	Quechua		2
5976	Bobonaza	ash	u ʃ p a	Quechua		2
5977	Cacra-Hongos	ash	u ʈ p a	Quechua		2
5978	Chachapoyas	ash	u ʈʂ p a	Quechua		2
5979	Chacpar	ash	u tʃ p a	Quechua		2
5980	Chetilla	ash	u ʂ p a	Quechua		2
5981	Chipaya	ash	qʰ u p	Uru-Chipaya		175
5982	Curva	ash	u tʃ pʰ a	Quechua		2
5983	Cuzco	ash	u s pʰ a	Quechua		2
5985	Huallaga	ash	u tʃ p a	Quechua		2
5986	Huanca	ash	u ʈʂ p a	Quechua		2
5988	Huangascar	ash	u ʈ p a	Quechua		2
5989	HuarazHuailas	ash	u tʃ p a	Quechua		2
5990	Imbabura	ash	u tʃ u f a	Quechua		2
5991	Inkawasi	ash	u ʈʂ p a	Quechua		2
5995	Lamas	ash	u tʃ p a	Quechua		2
5996	Laraos	ash	u ʈʂ p a	Quechua		2
5997	Lincha-Tana	ash	u ʈ p a	Quechua		2
5998	Maragua	ash	u ʃ pʰ a	Quechua		2
5999	Napo	ash	u ʃ p a	Quechua		2
6000	Pacaraos	ash	u ʈʂ p a	Quechua		2
6001	Pastaza	ash	u tʃ p a	Quechua		2
6002	Pocona	ash	u ʃ pʰ a	Quechua		2
6004	Puno	ash	u s pʰ a	Quechua		2
6005	Putumayo	ash	u tʃ p a	Quechua		2
6006	Raimondi	ash	u tʃ p a	Quechua		2
6007	SanPedro	ash	u ʈ p a	Quechua		2
6008	Santiagueno	ash	u ʃ p a	Quechua		2
6010	Serena	ash	u ʃ p a	Quechua		2
6012	Taquile	ash	u ʃ pʰ a	Quechua		2
6013	Troje	ash	u ʃ p a	Quechua		2
6015	Wari	ash	u tʃ p a	Quechua		2
6016	Yanac	ash	u tʃ p a	Quechua		2
7243	Azuay	ash	u tʃ u p a	Quechua		2
7328	Jauja	ash	u ʈʂ p a	Quechua		2
7484	Tarma	ash	u tʃ p a	Quechua		2
3727	Apuri	back	w a ʃ a	Quechua		611
3728	Apurimac	back	w a s a	Quechua		611
3729	Atalla	back	w a s a	Quechua		611
3730	Ayacucho	back	w a s a	Quechua		611
3731	Bobonaza	back	w a ʃ a	Quechua		611
3732	Cacra-Hongos	back	w a ʃ a	Quechua		611
3733	Chachapoyas	back	w a ʃ a	Quechua		611
3734	Chacpar	back	w a x t a	Quechua		783
3735	Chetilla	back	w a x t a	Quechua		783
3736	Chipaya	back	t a j	Uru-Chipaya		627
3737	Curva	back	w a s a	Quechua		611
3738	Cuzco	back	w a s a	Quechua		611
3740	Huallaga	back	w a χ t a	Quechua		783
3741	Huanca	back	w a ʂ a	Quechua		611
3743	Huangascar	back	w a ʃ a	Quechua		611
3744	HuarazHuailas	back	w a q t a	Quechua		783
3745	Imbabura	back	w a ʃ a	Quechua		611
3746	Inkawasi	back	w a χ t a	Quechua		783
3750	Lamas	back	w a ʃ a	Quechua		611
3751	Laraos	back	w a ʃ a	Quechua		611
3752	Lincha-Tana	back	w a ʃ a	Quechua		611
3753	Maragua	back	w a s a	Quechua		611
3754	Napo	back	w a ʃ a	Quechua		611
3755	Pacaraos	back	w a ʃ a	Quechua		611
3756	Pastaza	back	w a ʃ a	Quechua		611
3757	Pocona	back	w a s a	Quechua		611
3759	Puno	back	w a s a	Quechua		611
3760	Putumayo	back	w a s a	Quechua		611
3761	Raimondi	back	w a q t a	Quechua		783
3762	SanPedro	back	w a ʃ a	Quechua		611
3763	Santiagueno	back	w a s a	Quechua		611
3765	Serena	back	w a ʃ a	Quechua		611
3767	Taquile	back	w a s a	Quechua		611
3768	Tarma	back	w a ʃ a	Quechua		611
3769	Troje	back	w a ʃ a	Quechua		611
3771	Wari	back	w a q t a	Quechua		783
3772	Yanac	back	w a q t a	Quechua		783
3773	Yanac	back	w a χ t a	Quechua		783
7203	Azuay	back	w a ʃ a	Quechua		611
7329	Jauja	back	w a ʂ a	Quechua		611
533	Apuri	be sick	o ŋ q u	Quechua		870
534	Apurimac	be sick	o n q o + tʃ i	Quechua		870
535	Arma	be sick	u ŋ χ u	Quechua		870
536	Atalla	be sick	u n ɢ u	Quechua		870
537	Ayacucho	be sick	o ŋ χ o	Quechua		870
538	Bobonaza	be sick	u n g u + tʃ i + n a	Quechua		870
539	Cacra-Hongos	be sick	q i ʃ a	Quechua		3
540	Chacpar	be sick	ɢ i ʃ i j a	Quechua		3
541	Chetilla	be sick	q i ʃ a	Quechua		3
542	Chipaya	be sick	a z i n z	Uru-Chipaya		11
543	Chipaya	be sick	l a a kʰ i z	Uru-Chipaya		8
544	Curva	be sick	u n q u	Quechua		870
545	Cuzco	be sick	u n q u	Quechua		870
547	Huallaga	be sick	q i ʃ j a	Quechua		3
548	Huanca	be sick	ʔ i ʃ j a	Quechua		3
550	Huangascar	be sick	o ŋ q u	Quechua		870
551	Imbabura	be sick	u n k u	Quechua		870
552	Inkawasi	be sick	q i ʃ a	Quechua		3
555	Lamas	be sick	u n g u	Quechua		870
556	Laraos	be sick	q i ʃ a	Quechua		3
557	Lincha-Tana	be sick	o ŋ q u	Quechua		870
558	Maragua	be sick	u n q u	Quechua		870
559	Napo	be sick	u n g u + tʃ i + n a	Quechua		870
560	Pacaraos	be sick	χ e ʃ j a	Quechua		3
561	Pastaza	be sick	u n g u + n a	Quechua		870
562	Pocona	be sick	u n ʁ u	Quechua		870
564	Puno	be sick	u n q u	Quechua		870
565	Putumayo	be sick	u n g u	Quechua		870
566	SanPedro	be sick	o ŋ q u	Quechua		870
567	Santiagueno	be sick	o ŋ q o s	Quechua		870
570	Serena	be sick	u n g u	Quechua		870
572	Taquile	be sick	u n q u	Quechua		870
573	Tarma	be sick	χ e ʃ j a	Quechua		3
574	Troje	be sick	u n g u	Quechua		870
575	Yanac	be sick	q i ʃ j a	Quechua		3
7275	Azuay	be sick	u n g u + k u + n a	Quechua		0
7330	Jauja	be sick	h i ʃ j a	Quechua		3
7503	Wari	be sick	q i ʃ j a	Quechua		3
