Grapheme	IPA	Note
hu	w	
iu	i j u	
a	a	
u	u	
i	i	
o	o	
b	b	
sh	ʃ	
gs	χ	
ch	tʃ	
c	k	
k	k	
d	d	
g	g	
y	j	
j	h	
l	l	
ll	ʎ	
n	n	
ñ	ɲ	
m	m	
p	p	
q	q	
x	q	
r	ɾ	
s	s	
t	t	
zh	ʒ	
-	+	
